time,temperature_2m_max (°C),temperature_2m_min (°C),precipitation_sum (mm),wind_speed_10m_max (km/h),relative_humidity_2m_max (%)
01-01-2019,21.4,7.1,0,9.7,92
02-01-2019,22,8,0,11.7,93
03-01-2019,21.9,8.1,0,13.6,94
04-01-2019,22,10.1,0,9.8,92
05-01-2019,22.2,10.6,0,9.5,96
06-01-2019,23.4,8.9,0,10.9,95
07-01-2019,23.4,12.3,0.1,14.7,89
08-01-2019,23.2,12.8,0,16.2,94
09-01-2019,22,11.4,0,15.2,89
10-01-2019,21,9.2,0,9.4,91
11-01-2019,21.6,9.4,0,10.8,91
12-01-2019,22.2,7.7,0,10.5,91
13-01-2019,20.9,10.6,0,9.4,87
14-01-2019,23,11.4,0,15.7,91
15-01-2019,20.4,9.8,0,14.1,82
16-01-2019,21.2,7.5,0,11.5,93
17-01-2019,22,9,0,10.6,91
18-01-2019,22.4,9.1,0,11.2,93
19-01-2019,23,9.9,0,11.8,93
20-01-2019,23.2,9.9,0,11.1,90
21-01-2019,23.9,9.1,0,10.5,97
22-01-2019,25.9,12.4,0,14.8,90
23-01-2019,22,14.8,0.7,17.8,84
24-01-2019,23.2,13.6,0.3,7.6,97
25-01-2019,20.4,14.3,0.5,13.4,99
26-01-2019,19,14.2,2.5,8.2,98
27-01-2019,23,14.2,0,12.1,94
28-01-2019,21.8,13.2,0,16.2,90
29-01-2019,20.8,10.1,0,21.5,84
30-01-2019,21.7,9.4,0,12.9,81
31-01-2019,22.6,11.8,0,8.4,91
01-02-2019,24.2,11.8,0,10.7,93
02-02-2019,25.2,10.1,0,11.5,95
03-02-2019,25.9,11.5,0,14.1,92
04-02-2019,24,11.8,0,13.8,90
05-02-2019,24.2,11.6,0,12.7,93
06-02-2019,26,11.2,0,10.9,94
07-02-2019,27.6,12.8,0,15.9,96
08-02-2019,23.6,16.8,5.9,18.9,97
09-02-2019,22.2,12.1,4.9,20.3,99
10-02-2019,22.4,10.9,0,13.1,87
11-02-2019,23.1,10.9,0,10,94
12-02-2019,24,12.4,0,11,88
13-02-2019,25.4,12.2,0,10.6,95
14-02-2019,25.1,13.9,0,10.4,91
15-02-2019,25.3,15.2,0.7,16.9,93
16-02-2019,24.9,15.6,3.9,12.1,96
17-02-2019,23.9,15.1,0,22.6,94
18-02-2019,24.7,13.9,0,13.1,89
19-02-2019,27.5,14.2,0,9.2,92
20-02-2019,28.3,14.9,0,12.9,89
21-02-2019,28.6,15.5,0,11.3,92
22-02-2019,30.9,18,0,11.7,95
23-02-2019,28.9,18.5,0,26.8,91
24-02-2019,25.7,14.7,0,13.1,74
25-02-2019,27.5,14.4,0,9.8,93
26-02-2019,27.1,16,0,11,95
27-02-2019,24.7,16.8,2.1,25.6,95
