time,temperature_2m_max (°C),temperature_2m_min (°C),precipitation_sum (mm),wind_speed_10m_max (km/h),relative_humidity_2m_max (%)
01-01-2019,1.1,-4.2,0.1,5.7,83
02-01-2019,-0.6,-4.2,13.3,10.1,100
03-01-2019,-0.9,-5.3,0,6.1,98
04-01-2019,-3.3,-6.5,6,6.1,98
05-01-2019,-3.1,-6.7,17.5,9.2,100
06-01-2019,-2.3,-7.5,0,7.9,95
07-01-2019,-5,-9.5,0,7.2,100
08-01-2019,-5.1,-10.4,0.1,8.7,100
09-01-2019,-2.9,-10.1,0,7.7,100
10-01-2019,-4.6,-11.4,2.4,6.4,98
11-01-2019,-3.4,-6.9,9,6.6,100
12-01-2019,-3.8,-7.1,12.6,11.4,100
13-01-2019,-0.5,-5.3,4.4,7.1,99
14-01-2019,-4.2,-9.2,0,7.2,69
15-01-2019,-7.4,-14.9,0,8.7,76
16-01-2019,-5.9,-10.4,2.7,8.1,97
17-01-2019,-2.8,-8.6,0,7.5,99
18-01-2019,-6.2,-11.1,1.8,9.1,99
19-01-2019,-2.9,-8.9,4.2,8.4,98
20-01-2019,-1.2,-6.2,2.2,8.6,100
21-01-2019,-0.8,-3.2,45,13.2,100
22-01-2019,0,-2.7,26.6,9.4,100
23-01-2019,0,-3.5,1.7,7.9,100
24-01-2019,-0.7,-5.2,1.3,8.9,84
25-01-2019,-1.5,-6.8,1.9,9.7,87
26-01-2019,-3,-8.9,0,6.2,87
27-01-2019,-3.7,-10.7,0,6.9,79
28-01-2019,-3.3,-9.4,0,5.6,73
29-01-2019,-5.2,-9.5,0,8.6,74
30-01-2019,-4.6,-9.6,3.3,7.1,96
31-01-2019,-0.9,-5.8,16.2,8.3,100
01-02-2019,1.1,-3.7,4.2,8,98
02-02-2019,-1,-4.1,0,6,98
03-02-2019,-2,-7.2,0,7.4,96
04-02-2019,-1.3,-8.1,0,9.5,84
05-02-2019,0.1,-5.1,0,7.1,93
06-02-2019,-0.3,-3.7,9.1,11,100
07-02-2019,-1.1,-2.7,45.3,13.5,99
08-02-2019,2.4,-3.2,2.2,9.8,100
09-02-2019,0.3,-6.8,0,8.1,83
10-02-2019,-0.4,-6.6,0,7.4,90
11-02-2019,1.3,-3.6,0,7.7,86
12-02-2019,0.2,-4.1,3.8,7.6,99
13-02-2019,-0.7,-2.8,10.8,7.4,100
14-02-2019,0.4,-2.8,14.1,8.1,100
15-02-2019,1.1,-2.4,6.3,7.9,100
16-02-2019,2.4,-1.4,0,9.1,88
17-02-2019,0,-4.3,0,10.1,92
18-02-2019,0.2,-4.5,13.7,13.7,100
19-02-2019,1.6,-2.8,2,7.2,100
20-02-2019,1.8,-3,10.4,8.7,100
21-02-2019,0,-2.3,33.4,15.3,100
22-02-2019,1.8,-2,5.2,11,100
23-02-2019,1.7,-3.2,0,6.9,98
24-02-2019,3,-2.7,0.6,9.4,83
25-02-2019,1.5,-3,3.5,10.1,86
26-02-2019,1,-4.6,3.3,11.1,95
27-02-2019,1.4,-5,0,8.7,98
28-02-2019,1.1,-6.4,0,9.4,79
01-03-2019,1.5,-3.4,0,8.3,86
02-03-2019,-0.5,-2.6,13.4,9.2,100
03-03-2019,1.6,-2.3,9.7,7.2,100
04-03-2019,1.4,-3,8.7,5.9,100
05-03-2019,3.1,-2.3,0.7,6.7,95
06-03-2019,3.4,-1.9,0.7,7.1,84
07-03-2019,2.2,-3.2,4.8,8.8,85
08-03-2019,2.8,-3.1,0,9.4,85
09-03-2019,4,-2.7,0.3,10.9,84
10-03-2019,3.6,-4.3,0,7,77
11-03-2019,2.8,-2.2,17.1,10.9,100
12-03-2019,2.5,-2.7,0,7.2,100
13-03-2019,2.1,-1.5,11.3,8.2,96
14-03-2019,2.8,-1.9,1.9,8.6,100
15-03-2019,3.8,-1.8,2.4,10,91
16-03-2019,4,-1.1,0,6.2,85
17-03-2019,5.4,0.3,0,9.4,79
18-03-2019,4.8,-1.3,0,10.5,84
19-03-2019,5.2,-0.9,4.5,10,94
20-03-2019,0.3,-2.4,22.6,8.2,100
21-03-2019,2.9,-2.8,0.8,8.6,100
22-03-2019,3.8,-2,0,9.2,92
23-03-2019,5.9,0.5,0,7.4,89
24-03-2019,4.9,0,0.1,9.9,86
25-03-2019,5.9,-1.4,0.5,9,86
26-03-2019,9.1,1,0,11.5,78
