latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
23.725834,92.85111,973,19800,Asia/Kolkata,GMT+5:30
,,,,,
time,temperature_2m_max (°C),temperature_2m_min (°C),precipitation_sum (mm),wind_speed_10m_max (km/h),relative_humidity_2m_max (%)
01-01-2019,19.9,1.5,0,8,100
02-01-2019,20.1,2.3,0,7.3,99
03-01-2019,19.4,2.4,0,8.8,99
04-01-2019,19.1,1.9,0,6.7,96
05-01-2019,20.6,0.9,0,6.1,99
06-01-2019,22.9,1.5,0,6,99
07-01-2019,23.2,2.6,0,6.5,92
08-01-2019,20.9,6.7,0,9.4,96
09-01-2019,20.1,3.2,0,7,96
10-01-2019,18.7,4.4,0,7.3,94
11-01-2019,20.4,1.9,0,6.8,98
12-01-2019,20.7,2,0,7.4,98
13-01-2019,21.5,2.7,0,7.2,95
14-01-2019,20.4,3,0,6.8,92
15-01-2019,18.9,3,0,8.2,93
16-01-2019,21.2,1.4,0,5.8,99
17-01-2019,21.6,2.1,0,6.6,99
18-01-2019,20.7,3,0,7.2,97
19-01-2019,20.2,2.9,0,6.6,91
20-01-2019,19.6,2.9,0,7.1,95
21-01-2019,21.3,2.5,0,6.2,100
22-01-2019,22.1,3.1,0,7.2,99
23-01-2019,22.4,3.1,0,6.4,99
24-01-2019,22.7,3.1,0,8.9,96
25-01-2019,23.9,3.6,0,8.3,99
26-01-2019,23.9,4.7,0,6.1,98
27-01-2019,23.6,5.9,0,9,98
28-01-2019,21.3,8,0,6.2,94
29-01-2019,19.8,9.4,0.9,9.7,98
30-01-2019,19.6,6.5,0,7.7,100
31-01-2019,23.2,2.6,0,7,99
01-02-2019,24.2,3.3,0,8.1,99
02-02-2019,22.9,3.5,0,9.9,91
03-02-2019,22.4,4.4,0,7.4,86
04-02-2019,21.6,3.9,0,6.7,92
05-02-2019,22.8,1.3,0,6.7,98
06-02-2019,22.2,2.8,0,6.9,95
07-02-2019,23.5,3.5,0,7.1,93
08-02-2019,25.2,4.4,0,9.7,98
09-02-2019,26.1,8.6,0,11,91
10-02-2019,21.6,9.3,0,9.1,92
11-02-2019,23.7,4.4,0,8,98
12-02-2019,24.7,4.7,0,5.9,95
13-02-2019,25.7,5.4,0,7.2,85
14-02-2019,25.2,6,0,8.3,85
15-02-2019,25.5,6.6,0,7.9,85
16-02-2019,22.5,7.1,0,13.3,96
17-02-2019,21.2,7.1,2,14.5,96
18-02-2019,20.4,7.7,0,10.3,98
19-02-2019,21.5,7.5,0,10.1,92
20-02-2019,23.7,7.4,0,12.3,98
21-02-2019,23.8,7.7,0,10.4,92
22-02-2019,24.5,7.6,0,11.4,95
23-02-2019,24.1,9.7,0.6,11.4,98
24-02-2019,24.9,10.8,0.2,11.3,96
25-02-2019,18.6,9.4,14.1,8,100
26-02-2019,20.6,8.2,6.8,11.3,100
27-02-2019,17.5,10.2,6.7,7.4,100
28-02-2019,17.3,9,20.6,8.1,100
01-03-2019,19.8,8.5,0.8,8.1,100
02-03-2019,21.6,4.6,0,6.8,93
03-03-2019,22.3,3.6,0,9.7,94
04-03-2019,21.6,7,0.4,7,87
05-03-2019,15.5,10.7,20.7,7.7,100
06-03-2019,21.6,9.6,0.6,7.3,100
07-03-2019,21.7,10.8,1.1,7.6,100
08-03-2019,21,9.5,7.1,9.7,100
09-03-2019,21.1,7.1,0,11.3,89
10-03-2019,22.9,6.5,0,8.9,98
11-03-2019,22.8,10.3,0.2,8.2,90
12-03-2019,24.5,9.5,0,9.4,97
13-03-2019,25.4,9.1,0,8.1,99
14-03-2019,26.1,9.9,0,7.6,98
15-03-2019,27.1,11.3,0,8.7,93
16-03-2019,26.2,12.3,0,7.4,88
17-03-2019,25.2,11.3,0.2,7.6,91
18-03-2019,25.9,11.3,0,10.1,92
19-03-2019,24.4,9.3,0.2,10.6,100
20-03-2019,23.6,11.1,0.3,8.9,97
21-03-2019,24.4,10,0,11.6,97
22-03-2019,25.1,9.7,1,10.8,99
23-03-2019,25.2,12.1,0.9,10.9,99
24-03-2019,26.4,11.7,0,8.3,100
25-03-2019,27.4,8.6,0,8.1,95
26-03-2019,28.8,8.2,0,10.7,92
27-03-2019,26.6,11,0.2,14.3,94
28-03-2019,25.5,9.9,0,9.2,96
29-03-2019,27.6,9,0,9.1,97
30-03-2019,27.8,10.6,0,7.3,90
31-03-2019,27.4,12.3,0.4,12.6,95
01-04-2019,27.3,12.2,0.5,12.9,98
02-04-2019,28.2,14,4.8,13.8,100
03-04-2019,26.6,11,0.5,13,100
04-04-2019,27.2,11.7,0,10.6,99
05-04-2019,26.8,13,0.5,8.5,98
06-04-2019,27.6,13.7,4,9,96
07-04-2019,25.9,13.3,1.2,11.5,100
08-04-2019,25.4,13.1,3.7,12.1,100
09-04-2019,26.3,12.7,0.2,11.1,99
10-04-2019,23.1,13,2.5,12.2,99
11-04-2019,25.9,13.3,0.4,7.4,100
12-04-2019,26.1,13.5,2,8.9,100
13-04-2019,26.6,13.8,1.5,6.6,100
14-04-2019,28.5,15.5,0,10.4,97
15-04-2019,30,13.8,0.1,12.2,96
16-04-2019,30.7,14,0.2,13,99
17-04-2019,31.1,15.4,0.3,10,99
18-04-2019,30,15.2,0.1,13.4,95
19-04-2019,27.6,14.7,0,10.2,89
20-04-2019,26.6,14.8,2.4,8.7,97
21-04-2019,28,12.7,0,8.7,98
22-04-2019,28.4,12.9,0.2,11.8,94
23-04-2019,29.8,12.4,0,10.1,95
24-04-2019,30.7,12.1,0,10,90
25-04-2019,29.8,14,0,8.9,85
26-04-2019,29.8,16.7,0,6.9,89
27-04-2019,29.8,16.1,0,11.6,87
28-04-2019,31,19.3,0.3,13,92
29-04-2019,30.1,17.4,0,13.3,96
30-04-2019,29.9,17.5,0,12.4,95
01-05-2019,28.9,18.6,0.4,14.7,92
02-05-2019,28.9,19,0.6,9.5,95
03-05-2019,29,17.7,11,9,100
04-05-2019,28.2,16.4,15.1,20.5,100
05-05-2019,27.3,17.5,0.8,13.2,97
06-05-2019,28.1,17.4,0.5,10.8,93
07-05-2019,30,15.3,0,11.5,96
08-05-2019,30.8,14.3,0,11.8,97
09-05-2019,31,16.9,0,13.8,95
10-05-2019,30.4,17.6,0,11.3,95
11-05-2019,30.7,19.9,0.5,11.3,95
12-05-2019,31.2,18.9,0,10,92
13-05-2019,32,19.5,0.1,11.6,96
14-05-2019,28.7,17.1,2.2,12.7,100
15-05-2019,27.5,17.1,7.4,9.9,98
16-05-2019,26.5,16.8,2,10,98
17-05-2019,28.5,18.5,0.6,11.7,95
18-05-2019,28.8,18.8,1.2,14,95
19-05-2019,29.4,18.3,0.5,11.5,100
20-05-2019,31.1,18.8,0,9.4,100
21-05-2019,30.8,18.1,0.3,9.4,92
22-05-2019,29.2,18.6,0.5,9.5,91
23-05-2019,30.7,19.3,2.7,12.7,95
24-05-2019,26.3,18.4,11.7,13.8,100
25-05-2019,25.3,19.2,5.5,15.1,100
