time,temperature_2m_max (°C),temperature_2m_min (°C),precipitation_sum (mm),wind_speed_10m_max (km/h),relative_humidity_2m_max (%)
01-01-2019,26.9,12.7,0,14.4,97
02-01-2019,26.8,11.7,0,18.9,98
03-01-2019,27.7,12.1,0,18.3,100
04-01-2019,27.4,12.6,0,20.4,94
05-01-2019,27,12.3,0,14.5,93
06-01-2019,27.6,13.2,0,13.6,99
07-01-2019,27.4,13.5,0,13.7,100
08-01-2019,28.2,14.5,0,18.1,97
09-01-2019,28.9,13.4,0,15.2,93
10-01-2019,29,13.4,0,15.1,91
11-01-2019,28.6,14.5,0,17.6,98
12-01-2019,28.2,15,0,16.3,97
13-01-2019,28.7,14.1,0,17.1,99
14-01-2019,28.4,14.3,0,16.2,98
15-01-2019,28.2,13.2,0,18.5,84
16-01-2019,28.2,13.8,0,16.1,82
17-01-2019,28.2,14.1,0,17.6,99
18-01-2019,28.4,15.8,0,16.5,99
19-01-2019,28.8,13.7,0,15.9,100
20-01-2019,28.1,14.2,0,16.2,83
21-01-2019,29,13.2,0,15.9,100
22-01-2019,28.1,13.7,0,15.3,99
23-01-2019,28.7,15.5,0,14.1,99
24-01-2019,29.3,16.7,0,19.2,97
25-01-2019,28.7,16,0,19.3,97
26-01-2019,27.3,18.6,0.7,14.1,95
27-01-2019,26.8,18,3.5,11.7,95
28-01-2019,25.5,17.5,27.2,15,99
29-01-2019,25.6,16.9,1,18.9,97
30-01-2019,26.6,16.6,0,19.1,97
31-01-2019,26,15.1,0,19.2,98
01-02-2019,26.1,15.2,0,20.6,97
02-02-2019,27.8,15.3,0,18.1,97
03-02-2019,28.2,16.1,0,21.3,97
04-02-2019,29.1,16,0,20.8,93
05-02-2019,29.1,17.5,0,20.5,97
06-02-2019,29.6,16.9,0,17.5,84
07-02-2019,30.4,17.5,0,16.6,78
08-02-2019,30.6,18.1,0.1,14.5,91
09-02-2019,29.1,19.6,5.8,10.8,96
10-02-2019,28.5,19.1,0.7,15.9,97
11-02-2019,29.1,19.3,0,21.3,93
12-02-2019,28.3,16.7,0,22.9,97
13-02-2019,29,15.7,0,18.9,97
14-02-2019,29.9,16,0,19.7,81
15-02-2019,29.2,18,0.2,16.6,98
16-02-2019,31.4,19.1,0.1,13.6,97
17-02-2019,31.8,19.9,0,15.8,89
18-02-2019,31.9,18.3,0,13,99
19-02-2019,31.2,20.2,0,18.1,99
20-02-2019,31.6,19.9,0,21.1,95
21-02-2019,30.8,17,0,23,99
22-02-2019,31.6,16.2,0,27.2,87
23-02-2019,32.9,16,0,24.2,60
24-02-2019,33.1,16.1,0,18.7,68
25-02-2019,33.3,16.5,0,19,69
26-02-2019,33.2,18.8,0,12.5,73
27-02-2019,32.3,19.5,0,16.7,92
28-02-2019,32.2,19.9,0,14.4,81
01-03-2019,32.4,20,0,22.1,99
02-03-2019,31.7,20.6,0,21.4,93
03-03-2019,32.4,19.3,0,14.4,85
04-03-2019,32.6,19.3,0,13.8,98
05-03-2019,31.1,21.4,0.7,15.9,84
06-03-2019,34.1,21.1,0,13.4,83
07-03-2019,34.9,19.7,0,12.1,77
08-03-2019,34.3,18.9,0,14.6,90
09-03-2019,30.5,20.8,0.5,16.3,95
10-03-2019,33.1,21.1,0,14.7,88
11-03-2019,33.2,21.1,0,19.6,86
12-03-2019,32.9,19.6,0,18.3,67
13-03-2019,32.9,18.1,0,18,57
14-03-2019,32.8,18.9,0,22.4,65
15-03-2019,32.9,20.5,0,19.2,38
16-03-2019,32.4,18.3,0,18.4,55
17-03-2019,32.7,17,0,14,70
18-03-2019,33.3,17.6,0,20.5,90
19-03-2019,33.8,18.9,0,18.8,91
20-03-2019,33.2,20.3,0,17.9,83
21-03-2019,33.9,20.3,0,14.6,79
22-03-2019,33.3,20.2,0,18.4,80
23-03-2019,33.8,21.1,0,16.9,90
24-03-2019,34,22.3,0,20.9,84
25-03-2019,34.5,20.8,0,19.2,89
26-03-2019,34,20.2,0,17.1,61
27-03-2019,34.9,20.3,0,16.3,62
28-03-2019,35.5,20.6,0,16.1,62
29-03-2019,34.9,21.4,0,18.4,62
30-03-2019,34.5,21.5,0,16.9,65
31-03-2019,34.3,21.2,0,9.5,94
01-04-2019,35.1,21.1,0,10.5,84
02-04-2019,34.1,21.8,0,14.5,70
03-04-2019,33.3,22.1,0,20,66
04-04-2019,34.2,20.5,0,18.5,81
05-04-2019,34.6,20.8,0,15.3,74
06-04-2019,35.1,21.3,0,16.3,78
07-04-2019,35.1,22.1,0,15.8,57
08-04-2019,34.5,22.1,0,15.8,83
09-04-2019,33.4,22.4,0,13.5,73
10-04-2019,33.8,21.7,0,14,77
11-04-2019,34.4,21.9,0,13,87
12-04-2019,34.9,21.5,0,16.8,61
13-04-2019,34.7,22.2,0,18.6,69
14-04-2019,34.8,21.6,0,18.9,75
15-04-2019,34.5,20.4,0,15.9,69
16-04-2019,34.1,21.7,0,21.8,81
17-04-2019,34.1,22.9,0.3,16.9,82
18-04-2019,34.2,21.5,14.8,16.2,97
19-04-2019,32.6,21.2,1.1,14.6,92
20-04-2019,31,20.8,6.3,21.5,96
21-04-2019,32.1,20.3,2.2,11.9,96
22-04-2019,31.9,21.8,0.6,19.5,92
23-04-2019,32.4,20.4,0,15.4,97
24-04-2019,33,21.1,0,17.1,92
25-04-2019,34.7,20.9,0,15.2,80
26-04-2019,35.4,21.3,0,17.2,69
27-04-2019,35.7,21.9,0,20,64
28-04-2019,34.9,21.8,0,20,84
29-04-2019,34,22.6,0,15.7,70
30-04-2019,33.6,22.3,0.1,14.4,80
01-05-2019,33.1,22.4,0.6,18.1,92
02-05-2019,35,21.1,0,16.6,90
03-05-2019,34.2,20.4,0,15.8,95
04-05-2019,32.6,20.4,0,12.4,90
05-05-2019,33.1,21.5,0,10.3,84
06-05-2019,33.5,22,0,12.6,90
07-05-2019,32,22.9,0.4,17.1,90
08-05-2019,31,21.6,0.7,16.8,97
09-05-2019,32.4,21.1,0,16.7,99
10-05-2019,33.5,21.5,0,12.1,74
11-05-2019,33.6,22.8,0.5,16.8,77
12-05-2019,33,22.7,0.2,12.2,96
13-05-2019,31.8,22.3,1.7,12.6,87
14-05-2019,33.2,22.1,0.5,16.4,91
15-05-2019,32.7,21.8,3.4,14.3,94
16-05-2019,33.1,21.7,0.3,15,94
17-05-2019,32.5,23,0.5,12.6,93
18-05-2019,32.8,22.3,0.2,11.2,94
19-05-2019,32.7,22.3,0,9.3,86
20-05-2019,33.4,22.8,0.1,9,86
21-05-2019,32.8,22.8,0,12.9,77
22-05-2019,33.2,22.3,0.2,13.3,85
23-05-2019,32.9,21.8,0.5,16.6,84
24-05-2019,33.3,21.7,0.2,12.7,93
25-05-2019,32.3,21.4,3.3,15.7,97
26-05-2019,32.7,21.8,2.3,14.4,100
27-05-2019,32.6,20.8,1.4,11,95
28-05-2019,31.5,22.6,3.1,13.9,93
29-05-2019,33.2,21.9,1.5,11.6,93
30-05-2019,31.8,21.9,11.1,16.3,98
31-05-2019,30.8,21,16,14.8,99
01-06-2019,30.9,21.6,0.6,17.5,98
02-06-2019,30,22,13.9,15.1,98
03-06-2019,31.1,21.9,3.3,20.9,99
04-06-2019,30.4,21,0.2,16,97
05-06-2019,29.7,21.3,17.9,12.4,96
06-06-2019,31,21.2,1.4,12.8,100
07-06-2019,30.6,21.1,13.8,11.3,96
08-06-2019,29.9,21.3,5.5,14.3,98
09-06-2019,31.2,20.8,0.3,17.8,97
10-06-2019,29.1,21,4.1,25.3,95
11-06-2019,29.3,21.2,1.3,28.2,91
12-06-2019,27.2,21.7,1.5,29.5,92
13-06-2019,28,20.9,3.9,30,93
14-06-2019,28.1,20.6,3.4,23.8,96
15-06-2019,30.2,20.5,0,20.9,98
16-06-2019,30.4,20.4,0.5,21.2,97
17-06-2019,30,20.3,0,22.4,96
18-06-2019,29.7,21.2,0,22.7,90
19-06-2019,30.7,20.2,0.9,21.6,95
20-06-2019,28.1,21.4,3.9,23.4,90
21-06-2019,29,19.9,0.7,19.1,95
22-06-2019,28.4,21.1,5.8,20.3,97
23-06-2019,29.3,20.7,2.1,22.7,95
24-06-2019,29.8,20.5,1.6,17.7,97
25-06-2019,30.1,20.3,0.9,18.4,95
26-06-2019,27.3,21,1.2,20.7,92
27-06-2019,29.7,20.4,2.3,23.7,95
28-06-2019,30.6,19.7,0.1,29.2,90
29-06-2019,29.4,19.8,0.1,28.1,93
30-06-2019,30.2,20.9,1.1,31,89
01-07-2019,29.8,20.5,0.9,25.6,93
02-07-2019,30.8,21.4,0.8,28.9,89
03-07-2019,29.6,20.7,0.4,27.6,92
04-07-2019,30.2,20.9,2.7,28.6,92
05-07-2019,28.8,21.2,2.1,33.6,89
06-07-2019,29.4,20.9,1.1,30.9,89
07-07-2019,29.9,20.6,0.7,32.5,89
08-07-2019,29.7,20.3,0.4,31.1,89
09-07-2019,29.3,20.7,3,27.8,89
10-07-2019,25.9,20.4,4.9,30.4,96
11-07-2019,29.4,19.6,5.8,25.2,95
12-07-2019,29.2,19.6,3.5,15.5,99
13-07-2019,29.3,19.8,0.4,18,98
14-07-2019,28.8,19.7,2.8,20.6,97
15-07-2019,28.3,20.2,5.1,19,97
16-07-2019,28.9,19.6,1.1,18.6,97
17-07-2019,28.3,20.1,3.5,17.2,96
18-07-2019,29.3,20.3,8.3,18.1,97
19-07-2019,24.5,20.6,2.8,19.1,96
20-07-2019,27.3,19.8,4.6,24.8,95
21-07-2019,26.6,20.2,10.9,25.8,97
22-07-2019,25.8,19.9,11,21.3,96
23-07-2019,24.1,19,9.1,21.7,97
24-07-2019,27.9,19.5,5.5,21,98
25-07-2019,27,19.3,7.4,19.8,98
26-07-2019,25.2,19.8,5.4,21.9,97
27-07-2019,27.2,19.4,0.7,24.3,98
28-07-2019,26.8,19.2,1,26,95
29-07-2019,26.9,20,0.2,25.3,93
30-07-2019,27.6,19.7,0.3,27.7,92
31-07-2019,27.9,19.2,0.7,23.1,94
01-08-2019,28.1,19.1,1,25.5,95
02-08-2019,26.6,19.9,0.4,29.9,88
03-08-2019,28.2,20.4,0.2,31.6,89
04-08-2019,28.4,20.1,1.2,31.4,92
05-08-2019,25,20.5,7.8,34.2,97
06-08-2019,24.9,19.9,7,30.6,95
07-08-2019,27.6,20.1,6.5,36.7,94
08-08-2019,27,20.8,10.4,36.4,92
09-08-2019,26.9,20.4,4.5,32.9,95
10-08-2019,23.9,20.2,6.1,27.4,98
11-08-2019,26.7,20.1,0.6,30.8,94
12-08-2019,27.7,19.2,4,24.8,93
13-08-2019,27.7,20,5.4,20.2,98
14-08-2019,25.3,19.7,12,21.4,98
15-08-2019,27.3,19.9,11.7,22.5,96
16-08-2019,26.5,19.3,6.1,17.9,98
17-08-2019,24,19.5,10.2,12.7,98
18-08-2019,26.4,19.8,10.3,16.7,98
19-08-2019,28,19.9,14,12.6,99
20-08-2019,27.5,20,11.4,17,99
21-08-2019,26.8,19.9,3,18.8,99
22-08-2019,25.2,19.4,9.5,21,96
23-08-2019,26.4,19.5,4.8,22,96
24-08-2019,25.7,19,4.2,22.2,97
25-08-2019,26.1,19.7,0.9,22.1,98
26-08-2019,27,19.7,2.1,23.5,99
27-08-2019,25.8,19.6,4.7,25.9,97
28-08-2019,26.9,19.6,2.7,22.1,97
29-08-2019,28.2,19.8,10.9,21,97
30-08-2019,27.1,19.3,1.5,26.6,97
31-08-2019,26.4,19.4,3.5,21.3,96
01-09-2019,24.1,19.6,3.1,21.7,97
02-09-2019,28.2,19.7,7.8,23.3,96
03-09-2019,25.2,20,3.2,24.6,97
04-09-2019,27.2,20,6,28.8,96
05-09-2019,26.7,20.2,5.8,29.3,92
06-09-2019,26.8,20.2,2,31.4,89
07-09-2019,27.3,20,1.9,31,91
08-09-2019,26.7,20.4,2.7,29.9,88
09-09-2019,27.6,20,0.9,25.6,93
10-09-2019,28,19.7,2.5,20.8,95
11-09-2019,28.1,19.5,3.8,19.4,98
12-09-2019,27.9,19.7,2,17.2,98
13-09-2019,27.7,19.4,1.3,17.3,98
14-09-2019,27.9,19.1,9.7,15.3,99
15-09-2019,27.8,19.8,4.1,16.8,99
16-09-2019,26.8,19.8,2.1,19.2,98
17-09-2019,23.7,19.6,27.7,16.8,96
18-09-2019,28,19.9,3.5,14.8,99
19-09-2019,27.5,20.2,4.7,13.8,98
20-09-2019,27,19.8,1.1,16.6,98
21-09-2019,28.7,19.6,1.1,10.3,98
22-09-2019,25.6,20.5,8.3,9.1,98
23-09-2019,26.5,19.9,32.9,11.6,99
24-09-2019,26,19.7,9.6,14.4,98
25-09-2019,27.2,20,17.7,19.6,99
26-09-2019,25.1,19.6,3.5,22,97
27-09-2019,27.1,19,9.2,11.3,100
28-09-2019,27.8,19.2,0.6,10.1,98
29-09-2019,27.9,20.2,1,14.3,97
30-09-2019,27.8,19.8,2.5,17.4,98
01-10-2019,27.5,19.6,14.6,10.5,99
02-10-2019,28.5,19,5.3,9.4,100
03-10-2019,28.1,19.6,4.5,10.2,97
04-10-2019,28.3,18.9,26.2,9,97
05-10-2019,27.3,19.1,11.5,9.6,98
06-10-2019,26.9,19.1,3.5,10.5,100
07-10-2019,26.2,19.9,9.8,9.9,97
08-10-2019,27.5,18.5,8.9,7.6,100
09-10-2019,27.1,19.2,5.7,8.4,100
10-10-2019,26.5,19.2,3.7,10.3,97
11-10-2019,27.7,19.4,4.4,7.7,99
12-10-2019,27.7,19.6,4.9,12.3,98
13-10-2019,27.7,20.2,4.6,12.8,98
14-10-2019,28.7,19.1,0,16.4,99
15-10-2019,27.1,19.8,7.7,17.1,98
16-10-2019,26.1,19.9,6.7,18.2,98
17-10-2019,24.6,19.5,2.4,16.2,98
18-10-2019,26.9,19.2,2.4,16.6,98
19-10-2019,26.8,19.4,2.7,16.7,98
20-10-2019,26.2,19.9,4.2,15.3,98
21-10-2019,25.2,19.7,8.1,10.9,98
22-10-2019,23.3,19.8,7.7,12.8,98
23-10-2019,25.5,19.9,11.2,17.3,98
24-10-2019,26,18.7,0.3,24.2,98
25-10-2019,24.1,19.3,0.4,21.7,96
26-10-2019,26.1,17.6,7.4,17.3,100
27-10-2019,26.8,18.2,8.5,11.2,99
28-10-2019,27,19,1.8,18.1,99
29-10-2019,25.1,19.4,2,24.8,99
30-10-2019,23.5,19.5,23.9,24.4,98
31-10-2019,24.5,19.5,13.4,20.5,98
01-11-2019,25.9,19,2.5,11.1,98
02-11-2019,26.6,19.4,1.1,10.7,100
03-11-2019,27.4,19.5,0.1,12,99
04-11-2019,27.7,18.1,0,13.4,100
05-11-2019,27.9,17.3,0.2,14.6,97
06-11-2019,27.3,18.4,2,10,96
07-11-2019,27,18.9,1.4,10.1,98
08-11-2019,26.1,19.5,3.9,8.6,99
09-11-2019,27.4,19.4,7,12.1,99
10-11-2019,27.6,19.2,0.6,9.6,100
11-11-2019,27.3,19,0.2,14.1,98
12-11-2019,27.6,17.8,0,16.3,98
13-11-2019,27.3,17.8,0,17.5,98
14-11-2019,26,17.7,2,20.2,98
15-11-2019,26.9,19.6,4.1,13.8,98
16-11-2019,26.6,19.3,1.5,17.3,98
17-11-2019,27.9,18.9,0,14.2,98
18-11-2019,27.7,19,0.9,21.9,98
19-11-2019,28.1,19.5,0.8,12.8,98
20-11-2019,26.6,19.6,2.6,20.2,98
21-11-2019,26.9,19.4,0.7,19.8,96
22-11-2019,26.8,18.7,0,19.8,95
23-11-2019,28.1,16.5,0,20.2,97
24-11-2019,27.5,16.4,0,15.6,98
25-11-2019,28.1,17.5,0,21.6,92
26-11-2019,27.3,16.4,0.1,19.7,98
27-11-2019,26.5,18.9,2.1,22.7,96
28-11-2019,26,19.8,0.3,20.5,97
29-11-2019,27.6,19.6,1.3,20.7,97
30-11-2019,26.1,18.3,1.6,26.1,98
01-12-2019,22.1,19.4,23,19.9,97
02-12-2019,24.9,19,1.2,26.2,98
03-12-2019,23.9,18.3,0.8,20.5,95
04-12-2019,25.5,17.3,0.7,24.5,97
05-12-2019,24.5,16.4,0,22.2,97
06-12-2019,26.4,16.5,0,18.7,97
07-12-2019,24.8,14.3,1.4,20.9,97
08-12-2019,24.7,17.7,0.6,18.9,98
09-12-2019,26.1,17,0,20.2,98
10-12-2019,25.3,16.4,0,17.7,99
11-12-2019,26.4,16.3,0,14.1,98
12-12-2019,26.5,15.8,0,16.7,97
13-12-2019,26.9,16.6,0,18.1,98
14-12-2019,25.1,18.8,7,17.7,96
15-12-2019,26.6,17.6,0,20.2,97
16-12-2019,25.3,15.7,0.3,16.8,99
17-12-2019,26.6,18.4,0,18.8,97
18-12-2019,27.6,16,0,21.4,97
19-12-2019,26.3,16.6,0,22.9,99
20-12-2019,26.5,15.8,0,18.1,99
21-12-2019,26.6,17.5,0,17.3,100
22-12-2019,26.8,18,0,17.3,97
23-12-2019,27.1,17.4,0,16.4,98
24-12-2019,25.2,17.8,0.4,16.1,98
25-12-2019,25.8,19,0.1,17.6,96
26-12-2019,28.1,19.4,0,13.9,95
27-12-2019,28.9,17.7,0.2,16.7,98
28-12-2019,27,17.5,0,17.3,96
29-12-2019,27.3,16.8,0,18.6,96
30-12-2019,27.3,17,0.1,18.3,97
31-12-2019,26.1,17.6,0.9,17.8,97
01-01-2020,26.8,18,1.9,18.5,97
02-01-2020,27.1,18.7,1,15.1,98
03-01-2020,28.1,18.5,0,14,99
04-01-2020,28.2,19.2,0,13.2,98
05-01-2020,27.9,19.4,0.2,16.6,99
06-01-2020,27.3,18.8,0,19,98
07-01-2020,27,18.2,0,19.7,98
08-01-2020,28.1,17.5,0,16.4,99
09-01-2020,29,17.3,0,17.9,97
10-01-2020,28.1,16.6,0,18.4,97
11-01-2020,27.6,15.3,0,18,98
12-01-2020,27.1,15,0,18.4,98
13-01-2020,28.3,17.1,0,14.8,98
14-01-2020,29,16.6,0,17.3,98
15-01-2020,27.7,14.5,0,18.4,96
16-01-2020,27.3,14.9,0,17.8,98
17-01-2020,28.4,15.5,0,17.3,98
18-01-2020,27.8,17.9,0.1,18.2,98
19-01-2020,28,18.4,0.2,17.8,94
20-01-2020,29.7,17.6,0,21.3,97
21-01-2020,29.1,16.4,0,21.3,92
22-01-2020,28.9,15.7,0,20.2,95
23-01-2020,29,16.8,0,19.6,97
24-01-2020,29.9,16.2,0,16.3,98
25-01-2020,29.9,15.2,0,17,94
26-01-2020,30.9,14.3,0,14.8,98
27-01-2020,30.7,15.6,0,15,93
28-01-2020,29.8,17.6,0,12,86
29-01-2020,30.8,17.3,0,13.7,94
30-01-2020,31,17.2,0,12.7,95
31-01-2020,30.6,18.1,0,20.5,86
01-02-2020,28.7,17.5,0,16.8,92
02-02-2020,28.2,18.3,0,17.4,93
03-02-2020,29.3,16.5,0,16.6,93
04-02-2020,28.6,15.4,0,18.8,98
05-02-2020,29,18.2,0,15.8,97
06-02-2020,29.6,16.5,0,16.1,95
07-02-2020,29.2,17,0,17.6,94
08-02-2020,29.4,17.9,0,14,95
09-02-2020,28,17.8,0.7,21.2,93
10-02-2020,28.8,18.1,0,23.8,93
11-02-2020,28.4,16.1,0,21.3,92
12-02-2020,28.8,17.2,0,19.8,97
13-02-2020,30.4,17.6,0,21.1,98
14-02-2020,30.4,16.5,0,12,97
15-02-2020,31.4,16.6,0,16.6,81
16-02-2020,31.2,17.3,0,17.7,64
17-02-2020,30.9,15.5,0,17.3,93
18-02-2020,30.6,15.9,0,18,74
19-02-2020,30.7,16,0,19.2,87
20-02-2020,30.8,15.9,0,19.6,97
21-02-2020,31.1,15.4,0,19.8,97
22-02-2020,30.3,17.3,0,21.2,96
23-02-2020,30.2,17.6,0,21.6,96
24-02-2020,30.3,17.8,0,19.5,96
25-02-2020,31.8,17.6,0,14.4,99
26-02-2020,30.5,18.3,0,16.1,96
27-02-2020,30.7,19.1,0,22.7,92
28-02-2020,30.9,18.3,0,22.9,94
29-02-2020,31.3,18.4,0,20.6,91
01-03-2020,30.5,18.8,0,19.6,93
02-03-2020,29.5,19,0,16.3,91
03-03-2020,30.6,19.5,0.5,9.9,84
04-03-2020,30.6,20,1.1,14.5,93
