time,temperature_2m_max (°C),temperature_2m_min (°C),precipitation_sum (mm),wind_speed_10m_max (km/h),relative_humidity_2m_max (%)
01-01-2019,17.6,7.4,0.1,11.2,90
02-01-2019,19.1,8.4,0.3,12.6,87
03-01-2019,19.6,7.2,0,19.5,78
04-01-2019,18.8,8.7,0,13.4,79
05-01-2019,18.3,8.4,1.9,20,86
06-01-2019,14.3,7.4,2,10.8,88
07-01-2019,18.5,5.6,0,10.5,88
08-01-2019,18.4,7.2,0,15.7,82
09-01-2019,18.7,8.3,0,19.2,90
10-01-2019,17.8,6.4,0,10.4,85
11-01-2019,18.3,8.5,1.7,13.1,91
12-01-2019,19.5,7.3,0.4,9.4,87
13-01-2019,19.1,10.1,3.9,14.8,87
14-01-2019,18.4,7.9,0,20,72
15-01-2019,18,7.4,0,16.1,85
16-01-2019,17.4,6.5,0,16.9,88
17-01-2019,19.3,7.2,0,9.4,91
18-01-2019,19.8,6.7,0,12.6,87
19-01-2019,21.9,10,0,12.1,87
20-01-2019,21.3,11.6,0,6.4,78
21-01-2019,17.9,11.9,13.1,33,96
22-01-2019,13.5,9.5,53.5,29.8,97
23-01-2019,16.8,7.4,0.7,16.9,95
24-01-2019,17.8,6.9,0,11.2,90
25-01-2019,15.8,6.7,0.2,13.9,88
26-01-2019,16.3,5.4,0,12.3,82
27-01-2019,15.6,5,0,15.5,85
28-01-2019,16.5,6.6,0,17.8,77
29-01-2019,17.1,7.6,0,16.9,77
30-01-2019,15,7.7,0.3,12.7,91
31-01-2019,16.5,8.9,0.8,23.4,86
01-02-2019,17.5,9.6,2.6,12.6,91
02-02-2019,19.3,6.5,0,10.5,90
03-02-2019,20.2,6.8,0,9,90
04-02-2019,19.8,7.6,0,8.7,89
05-02-2019,19,10.1,0,9.6,86
06-02-2019,20.4,11.3,0.2,27.1,68
07-02-2019,16.3,11.4,97.2,32.9,95
08-02-2019,16.9,6.5,0.8,19.8,82
09-02-2019,18.3,7.1,0,21.8,84
10-02-2019,18.4,8,0,13.5,85
11-02-2019,19.5,9.8,0,10.8,89
12-02-2019,20.3,10.6,0,7.9,91
13-02-2019,21.6,11.1,0,8.2,91
14-02-2019,21.3,12.7,9.2,31.6,92
15-02-2019,18.8,11.6,13.2,16,95
16-02-2019,19.3,10.1,0,11.3,91
17-02-2019,19,10.6,2.1,20.7,89
18-02-2019,18.4,9.3,3.1,11.9,94
19-02-2019,18.9,10.9,4.1,23.4,88
20-02-2019,20.1,11.9,1.8,19.9,81
21-02-2019,21,13.1,12.1,24.2,92
22-02-2019,21.3,12.7,6.8,17.8,93
23-02-2019,20,10.7,0,18,92
24-02-2019,19.9,9.8,0,11.3,92
25-02-2019,20.2,8.6,0,9.7,85
26-02-2019,18.3,9.8,3.1,15.2,85
27-02-2019,14.8,7.9,28.1,17.2,92
28-02-2019,17.5,6.3,0,19.5,77
01-03-2019,19.8,7.4,0,15.6,79
02-03-2019,16.8,10.8,7.2,10.9,95
03-03-2019,20.6,11.6,0.9,10.9,96
04-03-2019,20.7,11,1.8,12.3,91
05-03-2019,20.2,9.1,0.1,13.5,89
06-03-2019,21.4,11.6,0,17.7,79
07-03-2019,22.1,10.6,0,14.9,81
08-03-2019,20.4,9.6,0,13.8,74
09-03-2019,22,12.2,0,14.1,77
10-03-2019,22.7,10.1,0,10.7,89
11-03-2019,20.9,11.9,5.1,19.3,91
12-03-2019,23.7,9.9,0,14.1,91
13-03-2019,22.4,12.8,0,14.7,81
14-03-2019,23.4,13,0.6,15.3,91
15-03-2019,23,9.6,0,13.8,86
16-03-2019,24.1,11.5,0,12.6,78
17-03-2019,24.8,14.1,0,14.5,88
18-03-2019,25.6,12.2,0,8.6,84
19-03-2019,26.5,13.9,0,14.8,79
20-03-2019,27.7,14.2,1.5,26.2,64
21-03-2019,27.2,13.1,0,14,69
22-03-2019,26.4,14.8,0,22,61
23-03-2019,27.4,15.3,0,32.9,60
24-03-2019,27.4,16.6,0,19.9,79
25-03-2019,25.3,14.6,0.2,14.3,89
26-03-2019,27.1,13.8,0,21.8,79
27-03-2019,28.7,16.3,0,18.5,75
28-03-2019,30.5,16.7,0,19.7,71
29-03-2019,31.2,17.6,0,16.3,72
30-03-2019,32.3,18.5,0,31,67
31-03-2019,30.8,17.5,0,21.6,59
01-04-2019,30.3,18.1,0,21.1,60
02-04-2019,31.4,15.8,0,15,72
03-04-2019,32.4,18.6,0,18.1,56
04-04-2019,33.1,17.8,0,14.8,66
05-04-2019,33.1,19.4,0,39.9,64
06-04-2019,33.6,20.1,0,18.1,69
07-04-2019,33.7,19.5,0,25.4,62
08-04-2019,29.1,20.8,0.5,14.8,66
09-04-2019,32.6,17.1,0,11.9,65
10-04-2019,35.2,21.5,0,21.7,59
11-04-2019,35.3,22.2,0,20.6,46
12-04-2019,34,22.6,0,20,49
13-04-2019,34.3,21.4,0,25,57
14-04-2019,35.5,21.5,0,24.3,50
15-04-2019,36.7,23.1,0,23.4,56
16-04-2019,31,20.9,1.2,25.2,72
17-04-2019,23.5,17.8,29.9,21.4,94
18-04-2019,26.1,15.9,0,11.5,91
19-04-2019,29.2,15.6,0,14.4,79
20-04-2019,30.1,18.9,0,9.4,69
21-04-2019,32.2,18.6,0,17.7,75
22-04-2019,34.1,19.5,0,18.9,67
23-04-2019,35.3,21,0,15.2,63
24-04-2019,35.7,22.8,0.6,21.3,54
25-04-2019,37.6,24.1,0,19.2,54
26-04-2019,37.6,22.4,0,27.1,53
27-04-2019,37.5,25.2,0,27.6,33
28-04-2019,38.9,24.6,0,28.3,32
29-04-2019,38.1,25.7,0,19.7,25
30-04-2019,39.2,23.3,0,25.4,30
01-05-2019,37.4,27.2,0,23.1,34
02-05-2019,36.1,24.3,0,19.7,41
03-05-2019,36.1,22.8,0,16.9,46
04-05-2019,35.6,21.8,0,18.2,31
05-05-2019,36.4,20.3,0,26,34
06-05-2019,37,22.4,0,20.9,35
