time,temperature_2m_max (°C),temperature_2m_min (°C),precipitation_sum (mm),wind_speed_10m_max (km/h),relative_humidity_2m_max (%)
01-01-2019,18.7,6.6,0,9.5,91
02-01-2019,16.5,5.3,0.4,10.9,88
03-01-2019,17.2,5.3,0,11.7,80
04-01-2019,18,5,0,8.8,82
05-01-2019,14.3,8.1,6.9,6.3,91
06-01-2019,13.2,6.8,2.3,8.8,94
07-01-2019,17,5.4,0,9.9,92
08-01-2019,17.4,5.4,0,8.8,81
09-01-2019,17.5,7.2,0,8.3,84
10-01-2019,18,6.5,0,9.2,80
11-01-2019,16.6,7.9,0,6.9,90
12-01-2019,18.5,5.3,0.1,7.8,91
13-01-2019,18.4,7.3,0.5,9.2,85
14-01-2019,18.1,5.8,0,11.2,91
15-01-2019,18.1,4.5,0,9.7,82
16-01-2019,17,8.8,0,7.4,80
17-01-2019,18.9,6.8,0,9.3,87
18-01-2019,19.6,6.1,0,10.4,85
19-01-2019,20.9,9.9,0,7.3,90
20-01-2019,20.7,11,0,9,74
21-01-2019,19.9,12.8,9.2,18.1,87
22-01-2019,13.5,9.3,24.5,24.2,93
23-01-2019,14.2,7.3,0,7.4,92
24-01-2019,17.2,5.8,0,8,83
25-01-2019,13.5,4.2,3,13.2,90
26-01-2019,15.7,4.2,0,7.7,88
27-01-2019,14.4,3.5,0,9.7,89
28-01-2019,16,2.7,0,10.2,88
29-01-2019,17.5,4,0,10.3,92
30-01-2019,17.5,5.7,0.3,7.3,88
31-01-2019,15.4,7.6,3.6,8.4,86
01-02-2019,17.5,7.3,1.1,11.5,91
02-02-2019,20.2,4.7,0,9.4,86
03-02-2019,20.8,6.7,0,10.4,87
04-02-2019,21.4,7.4,0,10.5,87
05-02-2019,21.5,9.9,0,9.5,72
06-02-2019,17.9,10.4,1.3,8.7,83
07-02-2019,16.7,8.5,50.5,18.3,96
08-02-2019,15.5,5.3,7.7,20.6,97
09-02-2019,17.9,4.1,0,9.2,95
10-02-2019,17.8,5.9,0,8.9,90
11-02-2019,19.6,8.6,0,8.3,90
12-02-2019,21.1,9.2,0,8.7,90
13-02-2019,21.9,10.7,0.1,8.1,81
14-02-2019,18.8,11.8,6.9,12.3,93
15-02-2019,18.7,9.2,2.7,12,97
16-02-2019,18,8.2,0.2,12,96
17-02-2019,18.4,6.6,0.6,9,96
18-02-2019,17.8,9.4,4.3,8.5,90
19-02-2019,17.3,7.9,10,16.6,92
20-02-2019,19.2,7.2,1.7,13.9,87
21-02-2019,19,11.9,20,13.1,89
22-02-2019,20.8,10.3,6.8,11.2,96
23-02-2019,20.7,9.5,0,12.2,94
24-02-2019,20.4,8.9,0.4,8.4,90
25-02-2019,18.4,7.3,0,8.9,84
26-02-2019,18,5.7,0.5,15.8,83
27-02-2019,11.7,5,13.8,12.5,95
28-02-2019,15.8,3.6,0,12.8,94
01-03-2019,18.7,4.2,0,10,90
02-03-2019,17.1,10.1,8.7,7.9,100
03-03-2019,19.5,10,1.5,9.8,94
04-03-2019,19.9,8,0.4,9.3,91
05-03-2019,18.8,6.8,0.1,9,92
06-03-2019,19.9,9.7,0,11.2,79
07-03-2019,20.7,8.5,0,11.4,86
08-03-2019,19.7,8.7,0,13.3,81
09-03-2019,22,6.2,0,12,87
10-03-2019,22.2,8.6,0,8,80
11-03-2019,22.6,9,1.9,14.5,87
12-03-2019,23,9.5,0,11,83
13-03-2019,20.1,10.4,0,9,87
14-03-2019,23.1,9.4,1.3,15.1,95
15-03-2019,22.4,8.6,0,10.9,85
16-03-2019,24.5,9.1,0,11.6,80
17-03-2019,23.6,12.2,0.6,8.6,93
18-03-2019,24.8,10.9,0,9.6,89
19-03-2019,24.5,12.5,0,10.5,84
20-03-2019,25,12,0.8,19.7,79
21-03-2019,25.8,12.2,0,10.8,73
22-03-2019,25.8,11.7,0,15.1,78
23-03-2019,26.5,11,0,12.3,74
24-03-2019,27.8,12.7,0,15.9,76
25-03-2019,22.5,13.2,3.3,10.9,88
26-03-2019,25.7,10.8,0,12.6,92
27-03-2019,27.5,12.9,0,11.9,85
28-03-2019,28.2,15.1,0,9.5,84
29-03-2019,30.2,15.8,0,10.7,85
30-03-2019,31.7,16.7,0,18.6,83
31-03-2019,31.1,16.1,0,15.2,63
01-04-2019,29.6,14.6,0,12.1,58
02-04-2019,29.7,14.8,0,13.1,69
03-04-2019,30.3,16.3,0,11.8,70
04-04-2019,31.2,18.7,0,13.3,68
05-04-2019,31.1,17.7,0,11.3,69
06-04-2019,30.7,18.5,0.8,16.8,72
07-04-2019,28.2,18.2,3.5,20.8,68
08-04-2019,26.9,17.7,0.9,8.6,75
09-04-2019,30.4,16.2,0,9.9,75
10-04-2019,31,18.1,0,18.6,73
11-04-2019,33.5,16.5,0,16,78
12-04-2019,31.3,19.3,0.5,12.3,63
13-04-2019,32.5,17,0.3,16.1,70
14-04-2019,34.7,17.8,0,22,65
15-04-2019,35.9,18.9,0,16,60
16-04-2019,27.4,18.9,2.2,10.7,84
17-04-2019,20.3,15.3,18,13.7,96
18-04-2019,24.4,13.6,0,8.5,95
19-04-2019,27.7,13.4,0,9,88
20-04-2019,28.2,16,0,10.3,79
21-04-2019,30.1,17,0,9.1,79
22-04-2019,30.8,17.3,0,12.7,71
23-04-2019,32.8,17.7,0.1,11.5,77
24-04-2019,32.9,20.5,0.8,10.4,71
25-04-2019,33.4,20.4,0.1,13,70
26-04-2019,35.1,20.2,0,17.7,60
27-04-2019,36.8,18.9,0,24.5,50
28-04-2019,37.6,19.6,0,22,52
29-04-2019,36.2,18.8,0,15.1,48
30-04-2019,36.1,18.5,0,18,42
01-05-2019,33.7,23.9,0,24.4,38
02-05-2019,33.1,23,0,19.9,47
03-05-2019,33.1,20.3,0,13.6,49
04-05-2019,33,18.7,0,15.9,56
05-05-2019,34.2,18.8,0,23.5,54
06-05-2019,34.4,19.5,0,21.3,39
07-05-2019,35.5,18.5,0,18.7,52
08-05-2019,37.1,19.4,0,26,38
09-05-2019,37.3,19.8,0,24.2,39
10-05-2019,36.9,20.6,0,19.9,48
11-05-2019,32.9,21.5,0,16.7,52
12-05-2019,33,20.3,0,13.3,57
13-05-2019,33.5,20,0,9.9,56
14-05-2019,29.6,20,2.3,16.3,74
15-05-2019,33.1,18.1,0,12.1,76
16-05-2019,32.9,19.5,0.1,18.5,72
17-05-2019,29.6,20,0.6,11.4,67
18-05-2019,32,18.8,0,13.7,72
19-05-2019,32.8,20.3,0,12.2,72
20-05-2019,35,21.3,0,14.4,57
21-05-2019,36.5,20.5,0,15.2,55
22-05-2019,37.1,20.9,0,14.5,55
23-05-2019,35.5,22.8,0,14.9,49
24-05-2019,29.1,22.1,4,15.1,66
25-05-2019,32.4,19.4,0,15.3,80
26-05-2019,34.4,20.1,0,15.6,65
27-05-2019,36.5,20.8,0,16,59
28-05-2019,37,21.1,0,15.6,49
29-05-2019,38,21.5,0,17.5,49
30-05-2019,37.8,22.2,0,13.7,47
31-05-2019,38,23.6,0,12.8,51
01-06-2019,36.5,24.1,0,10.3,65
02-06-2019,35.1,24.3,0.9,10.2,59
03-06-2019,35.5,24.5,0.3,13.2,68
04-06-2019,35.1,23.4,0,16.6,73
05-06-2019,38.2,23.8,0,15.6,60
06-06-2019,34.5,23.3,0.3,12,57
07-06-2019,35.2,23,0.1,13.3,64
08-06-2019,36.7,22.4,0,13.7,57
09-06-2019,37.9,24.2,0,20.8,62
10-06-2019,37.7,24.5,0,13.1,58
11-06-2019,39.2,25.1,0,15.8,60
12-06-2019,34.9,25.6,0,13.5,55
13-06-2019,35.8,25.3,0,16.4,68
14-06-2019,37.5,24.5,0,15.9,63
15-06-2019,39.1,23.7,0,23.4,50
16-06-2019,35.4,24.4,0,14.4,63
17-06-2019,35.4,22.7,0,23.1,78
18-06-2019,31.8,22.6,0,11.5,76
19-06-2019,34.2,20.8,0,9.2,79
20-06-2019,32.8,21.9,0.1,11.2,87
21-06-2019,33.7,22.8,0,11.2,78
22-06-2019,34.8,23.4,0,10.8,73
23-06-2019,34.5,24,3.4,14.3,80
24-06-2019,31.7,23.4,0.6,9.4,86
25-06-2019,33.9,24.4,0,10,88
26-06-2019,35.6,23,0,9,92
27-06-2019,36.1,24.1,0,14.4,69
28-06-2019,36.5,23.4,0,15.5,72
29-06-2019,37,23.4,0,10.2,67
30-06-2019,33.9,25.4,1.3,9.9,74
01-07-2019,33.5,23.1,5.6,10.7,95
02-07-2019,35.6,24.4,0.6,10.4,77
03-07-2019,32.4,24.9,4.3,9.7,87
04-07-2019,30.7,24.9,8.1,8,95
05-07-2019,31.3,24.7,1.7,10.9,93
06-07-2019,30.7,23.8,9,15.2,97
07-07-2019,31.1,23.5,5.7,8.3,99
08-07-2019,30.6,23.8,22.2,10.5,96
09-07-2019,28.1,23.5,43.3,6.8,96
10-07-2019,29.2,23.4,11.1,9.9,95
11-07-2019,28.3,24,12.4,9.4,98
12-07-2019,28.6,23.2,25.5,9.8,97
13-07-2019,27.9,23.2,24,11.6,98
14-07-2019,26.8,22.5,34.6,9.3,96
15-07-2019,28,22.2,58.6,9.2,98
16-07-2019,23.5,21.6,18.2,7.6,99
17-07-2019,26.3,20.8,1.8,10.6,98
18-07-2019,28.7,22,12.3,7.6,97
19-07-2019,29.2,22.8,2.3,7.6,94
20-07-2019,29.9,23.8,2.2,7.5,94
21-07-2019,29.6,23,8,7.7,92
22-07-2019,30.7,23.8,1.7,7.8,94
23-07-2019,31.6,24.1,5.9,9.8,96
24-07-2019,31.5,23.4,14.4,9.6,99
25-07-2019,25.4,22.9,34.1,6.3,100
26-07-2019,28.4,23.3,18.7,7.5,99
27-07-2019,27.9,23.4,5.7,7.2,97
28-07-2019,29.4,23.5,1.5,7.7,94
