time,temperature_2m_max (°C),temperature_2m_min (°C),precipitation_sum (mm),wind_speed_10m_max (km/h),relative_humidity_2m_max (%)
01-01-2019,23.4,9.4,0,9.5,93
02-01-2019,23.3,10.2,0,8.5,93
03-01-2019,22.3,11.4,3.2,11.6,95
04-01-2019,21.1,11.1,1.5,13.1,93
05-01-2019,22.2,10.5,0,10.6,96
06-01-2019,23.9,10.5,0,11.9,90
07-01-2019,24.8,10.2,0,12.7,87
08-01-2019,23.6,10.7,0,10.8,89
09-01-2019,23.5,12,2.2,7.7,86
10-01-2019,22.1,12.1,0,8.2,91
11-01-2019,23.3,11.5,0,10.9,95
12-01-2019,24.2,11.6,0,12.9,90
13-01-2019,24.6,10.9,0,10.2,89
14-01-2019,23.9,11.8,0,7.8,92
15-01-2019,23.9,11.4,0,9,87
16-01-2019,24,11.1,0,12.3,89
17-01-2019,24.8,10.5,0,11.8,84
18-01-2019,23.8,11.6,0,7.1,84
19-01-2019,24.2,12.9,0,8.7,86
20-01-2019,24.9,13,0,9,91
21-01-2019,25,12.1,0,8.3,83
22-01-2019,25.4,11.7,0,8.7,89
23-01-2019,25.7,12,0,8.4,90
24-01-2019,25.9,12.7,0,6.9,85
25-01-2019,26.1,13.7,0,10.8,90
26-01-2019,26.7,14.7,0,7.1,87
27-01-2019,26.4,16.8,0,7.4,77
28-01-2019,25.5,15.9,0,7.5,76
29-01-2019,20.8,15.1,1.9,14.5,82
30-01-2019,22.5,12.1,0,10,77
31-01-2019,24.9,11,0,11.4,88
01-02-2019,24.7,11.2,0,9.7,89
02-02-2019,25.8,12.1,0,8,88
03-02-2019,25.6,12.1,0,8.6,86
04-02-2019,25.8,13.2,0,9.5,87
05-02-2019,26.4,13.3,0,8.7,84
06-02-2019,25.7,13.5,0,8.1,86
07-02-2019,26.6,14.3,0,9.3,86
08-02-2019,27.1,15.1,1.1,8.3,88
09-02-2019,21.2,16.9,13.5,12.5,95
10-02-2019,23.3,14,0,8.7,97
11-02-2019,24.6,12.8,0,10,92
12-02-2019,26.4,13.2,0,9.7,88
13-02-2019,27.5,14.4,0,7.4,87
14-02-2019,27.7,14.4,0,8.5,90
15-02-2019,27.7,15.6,0,7.6,87
16-02-2019,22.5,15.2,0.8,12.4,94
17-02-2019,23.5,14.2,0.5,16.6,97
18-02-2019,21.8,15.1,1.4,6.9,96
19-02-2019,23.3,14.4,0.1,8.9,99
20-02-2019,23.8,14.3,0.5,13.8,99
21-02-2019,24.2,15.2,2.7,10.6,94
22-02-2019,26.6,15.6,0.3,8.6,93
23-02-2019,25.6,16.2,0.5,9,92
24-02-2019,26.9,15.5,0,9.7,99
25-02-2019,24,15.2,1.7,9.8,89
26-02-2019,25.9,14.3,0.1,13.9,92
27-02-2019,25.1,15,2.7,8.4,95
28-02-2019,20.2,14.8,5.8,10.2,100
01-03-2019,22.4,13,0.3,12.8,99
02-03-2019,24.2,12.8,0,10.2,92
03-03-2019,25.4,13.6,0,9.1,89
04-03-2019,25,15.7,0.8,9.2,89
05-03-2019,24.2,15.7,0.9,10.6,99
06-03-2019,25.2,17.1,3,10.4,95
07-03-2019,25.4,15.3,0,9.8,98
08-03-2019,24.9,13.3,0,13.6,86
09-03-2019,25.7,12.3,0,9.2,84
10-03-2019,25.9,14.6,0,12.2,87
11-03-2019,26.3,15.6,0,9.2,94
12-03-2019,27.6,15.8,0,10.2,94
13-03-2019,28.9,16.8,0,10.7,98
14-03-2019,31.1,17.6,0,9.4,90
15-03-2019,32.8,18.9,0,16.9,75
16-03-2019,33.6,22.8,0,29.9,68
17-03-2019,32,19.9,0,13.7,72
18-03-2019,31.1,18.1,0,16.5,71
19-03-2019,29.4,18.1,0.1,15.3,88
20-03-2019,29.9,17.3,0,12.2,100
21-03-2019,30.7,15.8,0,13.6,99
22-03-2019,30.2,17.6,0.4,13,92
23-03-2019,30.3,17.1,0,14,100
24-03-2019,31,17,0,9.5,98
25-03-2019,31.5,18.6,0.1,9,78
26-03-2019,31.6,19,0.1,14.6,74
27-03-2019,29.7,16.9,0,17.1,72
28-03-2019,31.1,17.9,0,9.7,78
29-03-2019,32.5,18.6,0,13.3,79
30-03-2019,31,21.6,1.8,8.7,88
31-03-2019,25.8,19.4,17,16.7,100
01-04-2019,25.9,18.9,1.3,14.2,99
02-04-2019,26.3,17.5,0.7,22.4,98
03-04-2019,27.4,17.8,0,15.8,98
04-04-2019,27.4,17.9,0.8,13.8,95
05-04-2019,27.9,18.4,9.4,16,95
06-04-2019,29.5,19,0.2,8.5,95
07-04-2019,24.6,20.5,7.2,12.6,96
08-04-2019,27.4,18.5,7.7,5.7,99
09-04-2019,26.1,19.5,6,11.6,99
10-04-2019,28.1,19,3.5,10.2,98
11-04-2019,29.6,18.4,0,7.9,95
12-04-2019,30.9,21.8,0.6,11.9,91
13-04-2019,31.4,22.1,0,15,88
14-04-2019,31.1,21.5,7.4,12.4,98
15-04-2019,28.2,21.5,10.8,9.3,98
16-04-2019,27.7,21.2,9,11.3,98
17-04-2019,30.8,21.9,4.1,12.2,96
18-04-2019,31.1,21.1,0,15.3,95
19-04-2019,31.6,21.1,0,18.5,83
20-04-2019,30.2,20.4,1.4,17,98
21-04-2019,29.9,19.9,0.3,14.1,96
22-04-2019,29.8,20.9,0.1,9.2,92
23-04-2019,31.5,19.2,0.3,12,87
24-04-2019,33.2,20.8,0,7.2,87
25-04-2019,33.8,22.8,0,8.8,81
26-04-2019,32.6,24.6,1.1,8.8,87
27-04-2019,31.4,23.9,7.9,9.1,96
28-04-2019,26.8,22.7,8.4,10.5,98
29-04-2019,26.6,22.1,27.2,14.3,98
30-04-2019,27.3,21.8,6.2,11.2,100
01-05-2019,27.3,21,6.9,11.8,100
02-05-2019,30.5,21.6,1.2,10.4,97
03-05-2019,28.7,23.1,1.7,10.1,99
04-05-2019,29.3,22.4,51.4,31.8,99
05-05-2019,30.6,22.5,3.9,19.8,97
06-05-2019,34,21.7,0.1,16.9,100
07-05-2019,29.7,21.7,0.7,12.9,89
08-05-2019,29.9,21.7,1.3,12.5,94
09-05-2019,29.4,21,1.9,12.4,98
10-05-2019,29.1,21.8,1.9,15.1,99
11-05-2019,30.2,22.5,1,12.7,97
12-05-2019,30.3,22.5,1.1,10.9,98
13-05-2019,31.2,22.2,0.4,13.4,95
14-05-2019,30.8,22.7,3,9.5,96
15-05-2019,28.3,22,3,8.2,98
16-05-2019,29.5,22,4.9,9.9,100
17-05-2019,27.5,22.5,7,11.6,100
18-05-2019,28.9,22.5,2.3,11.3,99
19-05-2019,32,22.6,2,12.6,97
20-05-2019,30.9,23.5,0.9,8.8,98
21-05-2019,29.7,23.1,4.3,10.7,96
22-05-2019,29.2,23.2,7.1,11.8,98
23-05-2019,28.4,22.3,14.9,11,99
24-05-2019,28.3,22.5,26.6,18.3,99
25-05-2019,28.5,22.7,7.1,8,99
26-05-2019,31.4,22.8,3.6,12.6,96
27-05-2019,30.4,23.6,33.6,14.2,97
28-05-2019,31.4,23.4,0.6,7.2,98
29-05-2019,32.5,23.9,1,8.8,95
30-05-2019,29.9,23.5,5.6,11.7,97
31-05-2019,29.2,22.8,5.9,7.2,97
01-06-2019,31.9,22.3,0,9.1,97
02-06-2019,30,24.1,5.3,9.1,96
03-06-2019,29.9,23.5,14.9,9.7,99
04-06-2019,29.3,23.4,2,16.5,98
05-06-2019,31.1,23.3,1.3,7.1,97
06-06-2019,31.4,24.8,16.5,6.8,97
07-06-2019,32.1,25,30.6,6.9,96
08-06-2019,31.5,24.8,7,9.6,97
09-06-2019,30.2,25,4.4,12,97
10-06-2019,31.8,25.5,5.7,11.6,97
11-06-2019,31.9,24.6,6.1,7.7,98
12-06-2019,32.8,25.7,1.7,8,95
13-06-2019,34.8,25.9,8.5,10.2,93
14-06-2019,31.6,26.7,14.4,8.5,95
15-06-2019,32.5,26.1,7.6,7.7,97
16-06-2019,32.1,25.5,2.9,10.2,99
17-06-2019,31.6,25.7,0.8,12.2,98
18-06-2019,32.6,25.4,1.4,11.5,97
19-06-2019,33.7,25.4,1,8,98
20-06-2019,33.3,26.3,7.5,8.9,97
21-06-2019,30.6,26.6,18.2,8.2,98
22-06-2019,32.2,26.3,7.1,9.4,97
23-06-2019,32.3,26.6,1.1,16.7,93
24-06-2019,33.1,25.8,0.5,21.2,93
25-06-2019,32.1,26.2,9.9,9.6,98
26-06-2019,31.3,25.9,23.1,9.5,99
27-06-2019,28.4,24.8,19.3,10.4,99
28-06-2019,30,25,7.1,11.8,98
29-06-2019,30.3,24.9,0.5,9.3,99
30-06-2019,33.5,25.4,4,8.3,98
01-07-2019,33.8,26.5,19.9,12.1,98
02-07-2019,32,26.1,18.8,8.6,99
03-07-2019,32.7,26.1,14.6,10.2,99
04-07-2019,32.6,26.5,13.7,8.6,98
05-07-2019,31.6,26.2,6.6,8.3,99
06-07-2019,31.1,25.6,56.2,18.9,99
07-07-2019,32.1,25.8,11.8,16.1,98
08-07-2019,29.2,26.2,58.9,5.4,98
09-07-2019,29.4,25.6,16.9,9.7,99
10-07-2019,26.9,24.8,34.5,9.9,100
11-07-2019,27.2,25.2,22.9,9.4,99
12-07-2019,28.7,25.1,23.7,12.9,100
13-07-2019,28.3,24.9,9.6,8.7,99
14-07-2019,28.3,25.1,24.1,11.3,100
15-07-2019,26.4,24.3,31,13.3,99
16-07-2019,30.3,24.3,4.8,12.8,98
17-07-2019,32.8,25.4,2.4,9.4,97
18-07-2019,33.5,25.5,1.7,7.9,96
19-07-2019,32.9,26.2,14.5,12.7,94
20-07-2019,32.2,26.4,6.2,14.8,97
21-07-2019,32.3,26.1,3.4,16.9,97
22-07-2019,30.2,25.8,4.7,6.5,99
23-07-2019,29.7,25.6,9.5,8.8,99
24-07-2019,29,25.1,9.7,10.7,99
25-07-2019,30.6,25.4,13,6.3,98
26-07-2019,30.7,25,11.4,13.9,99
27-07-2019,28.8,25.8,9.5,14.8,99
28-07-2019,32.2,25.3,5.4,9.3,98
29-07-2019,31.6,26.2,2.1,9,94
30-07-2019,30.8,26.2,2.4,7.1,95
31-07-2019,30.5,25.7,34.1,7.1,97
01-08-2019,29.9,24.9,32.2,7.6,99
02-08-2019,32.1,25.5,4.6,6.4,98
03-08-2019,32.8,25.8,22.8,10.3,95
04-08-2019,32.4,26.2,5.4,8.2,95
05-08-2019,33.6,26.3,1,11.1,95
06-08-2019,36.5,27.4,0.2,17.7,91
07-08-2019,35.1,27.6,0.4,15.6,96
08-08-2019,32.3,26.3,1.7,16.4,98
09-08-2019,31.7,26.9,0.7,12.6,95
