time,temperature_2m_max (°C),temperature_2m_min (°C),precipitation_sum (mm),wind_speed_10m_max (km/h),relative_humidity_2m_max (%)
01-01-2019,20.8,6.3,0,9,95
02-01-2019,21.5,7.5,0,10.2,92
03-01-2019,22.2,8.1,0,13.2,92
04-01-2019,21.5,8.6,0,9.2,93
05-01-2019,22,9.1,0,11.7,92
06-01-2019,20.9,10.6,2.9,18.7,90
07-01-2019,20.6,10.6,1.1,12.2,97
08-01-2019,21.4,10.1,0,13.9,91
09-01-2019,20.2,8.9,0,12.1,93
10-01-2019,20.2,8.3,0,9.4,92
11-01-2019,20.5,7.8,0,9.8,95
12-01-2019,21.2,8.1,0,10.1,95
13-01-2019,21.9,8.4,0,9.7,93
14-01-2019,21.9,10.4,0,20.4,92
15-01-2019,19.2,7.6,0,13.4,78
16-01-2019,19.7,5.6,0,9.2,93
17-01-2019,20.8,5.7,0,10.1,95
18-01-2019,21.9,7.8,0,10.2,94
19-01-2019,22.8,7.7,0,11.2,93
20-01-2019,24.4,8.2,0,10.6,92
21-01-2019,25.2,10.4,0,14.8,91
22-01-2019,21.7,14.9,0.6,24.5,75
23-01-2019,21.6,13.9,1,20.1,93
24-01-2019,22.5,10.9,0,8.8,97
25-01-2019,19.7,11.7,7.4,19.6,96
26-01-2019,18.7,11.3,0,8.8,98
27-01-2019,20.3,9.9,0,14.5,98
28-01-2019,19.1,7.6,0,15.6,87
29-01-2019,19.3,7.8,0,13.6,81
30-01-2019,20.8,7.3,0,10.9,91
31-01-2019,21.2,9.8,0.2,10.5,85
01-02-2019,23.6,10.4,0,8.4,95
02-02-2019,24.4,11.8,0,11.6,86
03-02-2019,23.4,11.1,0,12.6,95
04-02-2019,23.5,8.6,0,12.4,94
05-02-2019,24,9.1,0,10.5,94
06-02-2019,26.1,12.9,1,11.9,94
07-02-2019,23.5,15.8,12,28.2,94
08-02-2019,22.6,11.9,8.8,17.5,95
09-02-2019,20,10.3,0.1,16.5,97
10-02-2019,21.2,9.7,0,13,92
11-02-2019,21.4,8.9,0,9.8,92
12-02-2019,22.5,9.1,0,9.9,92
13-02-2019,24.2,9.9,0,10.1,92
14-02-2019,21.8,12,2,21.3,94
15-02-2019,23.9,14.4,23.6,23.8,98
16-02-2019,21.6,13.9,0.6,14.6,99
17-02-2019,22.2,12.5,0,18.6,95
18-02-2019,24.1,11.9,0,13.3,93
19-02-2019,25.5,14.5,0,12.8,92
20-02-2019,26.7,13.8,0,11.2,93
21-02-2019,25.2,14.4,3.3,12.8,95
22-02-2019,28.1,15.9,0,17.8,87
23-02-2019,23.5,14.1,0,19.1,83
24-02-2019,21.3,10.8,0,16.7,89
25-02-2019,25.2,10.8,0.1,10.7,90
26-02-2019,25.8,12.9,0.2,16.5,84
27-02-2019,19.5,12.6,3.3,23,95
28-02-2019,21.4,10.2,0,17.7,98
01-03-2019,22,8.7,0,15.8,89
02-03-2019,22.1,9.4,0.3,11.8,84
03-03-2019,22.7,13.6,1.5,12.7,93
04-03-2019,24.5,12.2,0.1,11.9,97
05-03-2019,25.5,14.9,0.1,17,90
06-03-2019,24.8,12.8,0,19,77
07-03-2019,25.8,12.1,0,17.9,77
08-03-2019,27.5,11.3,0,18.2,88
09-03-2019,27.4,14.9,0,11.6,69
10-03-2019,28.5,15.9,0,13.7,79
11-03-2019,30.1,15.2,0,10.1,62
12-03-2019,31.5,17.2,0,14,73
13-03-2019,30.2,17,0,13.3,78
14-03-2019,30.8,17,0,16.1,55
15-03-2019,30.4,17.4,0,19.5,70
16-03-2019,28.5,15.1,0,13.5,71
17-03-2019,28.5,13.9,0,13.8,70
18-03-2019,29.5,13.9,0,14.3,74
19-03-2019,30.6,15.5,0,19.9,67
20-03-2019,32.5,16.5,0,16.6,68
21-03-2019,32.2,19,0,18.6,53
22-03-2019,32.3,19.1,0,23.2,53
23-03-2019,31,16.9,0,23.2,52
24-03-2019,33,18.5,0,25.4,62
25-03-2019,33.3,18.6,0,21.7,69
26-03-2019,32.1,19.1,0.1,21.3,79
27-03-2019,32.2,18.5,0,17.4,72
28-03-2019,33.2,17.9,0,13.8,73
29-03-2019,35.5,20.1,0,11.6,77
30-03-2019,37.5,20.8,0,16.3,77
31-03-2019,37.5,21.4,0,29.5,74
01-04-2019,35,18.8,0,19.5,48
02-04-2019,34.8,18.3,0,16.9,67
03-04-2019,36.5,18.8,0,12.3,57
04-04-2019,36.8,21.2,0,12.5,68
05-04-2019,37.5,22.6,0,18.9,67
06-04-2019,33.3,24.8,0.4,32.1,68
07-04-2019,33.6,22.4,2.3,25.6,83
08-04-2019,34.5,22.4,0.2,22.5,82
09-04-2019,38,21.3,0,15.6,77
10-04-2019,36.2,22.3,0,18.4,77
11-04-2019,38.2,24.5,0,26.5,64
12-04-2019,39.2,23.2,0,15.5,68
13-04-2019,39.8,23.6,0,27.1,63
14-04-2019,40.5,23.4,0,22.3,49
15-04-2019,40.6,25.2,0,19.7,59
16-04-2019,34.4,23.4,0,24,66
17-04-2019,30.9,20,0.9,17.6,83
18-04-2019,30.9,18.8,0.1,14.4,90
19-04-2019,32.9,20.2,0,16,76
20-04-2019,34.3,20.2,0,14,67
21-04-2019,35.7,21.5,0,13.2,62
22-04-2019,37.5,22,0,18,61
23-04-2019,37.3,23.8,0,17.2,74
24-04-2019,37.6,26.1,0,14.7,65
25-04-2019,40.3,27,0,19.9,62
26-04-2019,41.8,26.4,0,21.2,59
27-04-2019,42,26.8,0,30,33
28-04-2019,41.8,26.5,0,29.8,27
29-04-2019,41.8,26.6,0,18.7,36
30-04-2019,42,23.6,0,12.1,49
01-05-2019,42.7,27.2,0,19.6,58
02-05-2019,41.2,27.9,0,26.1,58
03-05-2019,38,26.5,0.3,29.9,65
04-05-2019,38.1,25.4,0,18.4,79
05-05-2019,39,23.9,0,28.6,39
06-05-2019,41.3,25.4,0,27.2,28
07-05-2019,42,25.4,0,25.8,31
08-05-2019,43.3,25.5,0,29.8,38
09-05-2019,42.7,28.4,0,26.3,27
10-05-2019,42,30.2,0,20.9,27
11-05-2019,41,28,0,22.4,36
12-05-2019,39.9,26.9,0,20.9,37
13-05-2019,38.8,26,0,12.9,49
14-05-2019,38.2,27.1,0,23.1,51
15-05-2019,38.8,25,0,27.2,66
16-05-2019,39.8,25.7,0,18.3,57
17-05-2019,39.5,26.6,0,22.7,51
18-05-2019,36.7,26.2,0,22.1,50
19-05-2019,38.2,26.5,0,16.7,58
20-05-2019,40.5,25.3,0,17.8,51
21-05-2019,41.7,27.3,0,20.3,39
22-05-2019,41.5,29.3,0,30,38
23-05-2019,42,28.6,0,18,48
24-05-2019,42.2,28.6,0,22.2,59
25-05-2019,40,29.1,0,26.9,48
26-05-2019,40.5,26.8,0,26.2,46
27-05-2019,42.7,26,0,22.7,47
28-05-2019,43,27.4,0,23.2,37
29-05-2019,42.3,25.8,0,18.2,38
30-05-2019,44.2,26.5,0,19.8,63
31-05-2019,41.5,28.5,0,19.8,66
01-06-2019,41.2,29.1,0,21,61
02-06-2019,41.5,29.6,0,23.2,65
03-06-2019,38.8,29.5,0,23.2,58
04-06-2019,40.1,28.1,0,18,59
05-06-2019,41.2,30,0,15.3,55
06-06-2019,41.2,30.9,0,20.8,60
07-06-2019,40.1,29.2,0,18,65
08-06-2019,41,29,0,14,66
09-06-2019,42.9,28.9,0,17.6,64
10-06-2019,43.5,28.5,0,18.4,74
11-06-2019,41.9,29.3,0,19.4,75
12-06-2019,41.3,30.4,0,21.6,65
13-06-2019,40.6,30.8,0,19.9,66
14-06-2019,41.3,31.3,0,20.5,50
15-06-2019,43.8,29.6,0,22.2,45
16-06-2019,40.5,32.2,0,28.5,54
17-06-2019,39.5,28.9,0,26.3,67
18-06-2019,38,28.8,0,22.8,67
19-06-2019,30.6,24.5,14.3,12,96
20-06-2019,32.2,24.2,10.2,15,94
21-06-2019,36.2,26.4,0,8.7,84
22-06-2019,36.2,27.1,0.9,19.5,86
23-06-2019,30.8,25.9,1.9,15.9,91
24-06-2019,34.5,26.4,5.9,16.2,94
25-06-2019,36.2,28.7,5.8,8.2,87
26-06-2019,36.9,28.5,0.9,16.2,94
27-06-2019,39.2,26.1,1.9,17,93
28-06-2019,39.7,28.8,0,17.9,73
29-06-2019,40.5,29,0,13.9,69
30-06-2019,38,29.8,0,17.7,79
01-07-2019,36,28,1.7,13.4,87
02-07-2019,34.5,28.1,7.3,18.2,89
03-07-2019,35.2,29,1.6,26.1,77
04-07-2019,36.5,28.9,0.7,18,77
05-07-2019,35.2,27.8,12.1,16.2,93
06-07-2019,33.9,26.8,10,19.2,96
07-07-2019,32.5,26.6,15.7,10.6,97
08-07-2019,31.6,26.2,16.2,9.7,99
09-07-2019,29.5,26,104.1,11.6,97
10-07-2019,29.4,25.7,22.6,15.5,97
11-07-2019,30.9,25.7,68.6,17.4,96
12-07-2019,33.8,26.3,2.8,19.6,90
13-07-2019,35,28.5,0.9,20.5,77
14-07-2019,34.8,28.5,0.1,22.5,85
15-07-2019,34.3,26.9,2.9,19.1,90
16-07-2019,32.6,25.6,7.6,8.9,95
17-07-2019,33.5,25.9,0.6,12.4,95
18-07-2019,34.1,26.9,11.5,8.3,96
19-07-2019,33.8,27.6,1.7,10,92
20-07-2019,34.4,27.6,7.8,14.2,95
21-07-2019,34.8,27,7.8,13.6,95
22-07-2019,35.1,26,14.5,15.3,97
23-07-2019,35.7,27,13,18.8,96
24-07-2019,32.4,26.2,35.4,11.8,97
25-07-2019,30.1,25.5,22.6,10.7,99
26-07-2019,31.8,25.3,22.7,19.5,96
27-07-2019,30.6,25.1,14.7,21.6,98
28-07-2019,31.6,26.2,9.5,21.6,91
29-07-2019,32.7,27.2,0.2,26.8,84
30-07-2019,32,27.6,2,27.4,81
31-07-2019,32,26.8,1.4,19.9,86
01-08-2019,31.9,27.1,5.8,16.6,90
02-08-2019,32.2,26.7,13,15.3,93
03-08-2019,32.5,26,17.5,17.4,97
04-08-2019,34,26.5,1.3,10.7,95
05-08-2019,32.2,26,24,10.9,98
06-08-2019,32.5,26.7,19.1,13.6,97
07-08-2019,32,26.1,15.3,15.5,98
08-08-2019,32.8,27.3,0,32.2,89
09-08-2019,31.5,27,6.9,32.7,89
10-08-2019,32.6,26,3.6,15.5,95
11-08-2019,32.3,27.4,5.6,9,96
12-08-2019,33.3,27.1,0.2,15.3,95
13-08-2019,30.8,27.6,12.4,12.1,94
14-08-2019,32,26.3,8.5,27.2,96
15-08-2019,31.2,26.3,3.1,26,91
16-08-2019,32.3,26,3.9,18.1,95
17-08-2019,31.5,26.4,8.5,10.7,95
18-08-2019,32.5,26,3.6,9.4,96
19-08-2019,30.9,26,5.1,12.1,98
20-08-2019,31.2,25.8,6.3,8.5,98
21-08-2019,29.2,26.1,26.9,12.7,96
22-08-2019,31.7,24.9,19.4,10.2,98
23-08-2019,32.5,25,7.3,5.6,99
24-08-2019,30.1,25.5,21.2,18.8,97
25-08-2019,30.1,25.7,10.4,18.1,96
26-08-2019,32.8,25.5,0.8,16.8,95
