time,temperature_2m_max (°C),temperature_2m_min (°C),precipitation_sum (mm),wind_speed_10m_max (km/h),relative_humidity_2m_max (%)
01-01-2019,21.3,7.6,0,7.6,94
02-01-2019,22.4,7.9,0,11.4,96
03-01-2019,22.9,8.3,0,12.1,94
04-01-2019,22.4,9.5,0,10.5,94
05-01-2019,23.2,10.5,0,12.2,93
06-01-2019,24.8,11.5,0,14.1,88
07-01-2019,22.1,13.2,0.7,18,92
08-01-2019,22.7,11.3,0,12.9,98
09-01-2019,21.6,10.1,0,14.6,91
10-01-2019,21.1,8.7,0,9.2,92
11-01-2019,21.8,7.7,0,9.7,99
12-01-2019,22.6,8.5,0,9,97
13-01-2019,22.6,11,1.1,9.4,88
14-01-2019,23.7,10.7,0,17.7,91
15-01-2019,20.3,8.6,0,13.7,84
16-01-2019,20.9,6.7,0,9.6,92
17-01-2019,22,6.6,0,10,96
18-01-2019,22.2,8.2,0,10.1,93
19-01-2019,23,8.7,0,10.9,94
20-01-2019,24.2,9.5,0,10.2,91
21-01-2019,25.5,9.8,0,12,93
22-01-2019,26,13.2,0,16.1,81
23-01-2019,21.7,15.1,7.1,16.3,86
24-01-2019,22.8,13.2,0,7.9,97
25-01-2019,20.7,14.5,3.6,13.9,94
26-01-2019,21,13,2.3,8.7,100
27-01-2019,21.3,13.6,1.3,12,98
28-01-2019,19.7,10.9,0,14.8,84
29-01-2019,19.7,9.3,0,17.1,84
30-01-2019,21.1,8.3,0,11.3,85
31-01-2019,22.3,8.3,0,11.2,95
01-02-2019,24.6,12.2,0,9.7,90
02-02-2019,25.7,11.8,0,10.2,94
03-02-2019,25.8,12.2,0,11.1,94
04-02-2019,24.6,10.7,0,10.9,96
05-02-2019,25.3,12.2,0,9.8,94
06-02-2019,26.9,13.5,0,10.9,97
07-02-2019,26.7,15.8,0,17.1,87
08-02-2019,24.6,15.3,3.4,16.9,99
09-02-2019,21.7,11.7,6.6,25.1,98
10-02-2019,22.6,9.9,0,12,83
11-02-2019,23.1,9.8,0,9.5,95
12-02-2019,24.7,10.3,0,9.6,97
13-02-2019,26.3,12.1,0,9.8,100
14-02-2019,26.5,13.3,0,14.2,93
15-02-2019,22.2,16.3,6,15.4,96
16-02-2019,25.7,14.8,2.2,19.1,96
17-02-2019,23.2,13.2,0,18,82
18-02-2019,25.2,12.5,0,15.9,93
19-02-2019,28.6,14.1,0,10.3,87
20-02-2019,29.4,15.2,0,11.3,95
21-02-2019,30.2,14.7,0,15.5,97
22-02-2019,31.9,18.1,0.1,17.8,92
