time,temperature_2m_max (°C),temperature_2m_min (°C),precipitation_sum (mm),wind_speed_10m_max (km/h),relative_humidity_2m_max (%)
01-01-2019,27.7,11.1,0,11.1,71
02-01-2019,28,10.8,0,9.3,83
03-01-2019,28.2,12.6,0,13.5,65
04-01-2019,28.5,12.5,0,13,78
05-01-2019,27.6,11.8,0,9.7,90
06-01-2019,26.1,14.9,0,16,93
07-01-2019,24.8,12.6,0,18.6,68
08-01-2019,25.3,11.9,0,14.8,71
09-01-2019,26,11.7,0,12.7,69
10-01-2019,26.7,12.7,0,15.3,70
11-01-2019,27.4,11.9,0,13,71
12-01-2019,27.2,13.5,0,12.7,67
13-01-2019,27.4,13.4,0,14.6,78
14-01-2019,27,14.9,0,18.7,66
15-01-2019,26.6,13.7,0,16.6,65
16-01-2019,28.2,12.2,0,12.1,71
17-01-2019,28.2,12,0,9.7,80
18-01-2019,29.4,14.5,0,15.4,66
19-01-2019,30.4,14.8,0,13.8,63
20-01-2019,31.7,14.2,0,10.5,79
21-01-2019,29,14.2,0,15.3,83
22-01-2019,25.3,14,0,11.2,97
23-01-2019,25.3,14.5,0,10.2,78
24-01-2019,25.3,11.9,0,16.6,70
25-01-2019,23.9,12,0,18.4,77
26-01-2019,22.7,12.1,0,20,56
27-01-2019,22.9,10.7,0,18.5,51
28-01-2019,22.7,10.1,0,18.7,60
29-01-2019,23.3,10.4,0,18.9,56
30-01-2019,26,10.9,0,16.1,57
31-01-2019,26.8,11.3,0,11.2,68
01-02-2019,26.1,14.1,0,16.8,65
02-02-2019,26.6,12.4,0,16.4,59
03-02-2019,28.5,14.5,0,17.6,69
04-02-2019,31.9,18.3,0,18.6,72
05-02-2019,30.4,17,0,12.3,92
06-02-2019,27.7,16.1,0,15.7,51
07-02-2019,23.7,11.9,0,24.9,56
08-02-2019,22.4,9.9,0,14.8,78
09-02-2019,23.4,9.6,0,18,50
10-02-2019,25.7,11,0,16.6,49
11-02-2019,28.5,12.9,0,16.6,52
12-02-2019,31.4,15.5,0,15.7,55
13-02-2019,30.8,17.1,0,12,69
14-02-2019,29.1,17,0,14.1,79
15-02-2019,28.8,14.9,0,14.2,69
16-02-2019,27.6,15.3,0,19,50
17-02-2019,28.6,12.6,0,10.7,58
18-02-2019,31.1,14.9,0,13.2,59
19-02-2019,29.8,17,0,11.9,95
20-02-2019,35,17.6,0,12.9,90
21-02-2019,31.1,19.5,0,13.4,77
22-02-2019,31.2,18.7,0,14.4,86
23-02-2019,29.4,17.3,0,14,54
24-02-2019,30,16.1,0,12.6,57
25-02-2019,30.5,17.1,0,17.1,84
26-02-2019,28.8,18.8,0,28.6,86
27-02-2019,28.1,18.2,0,19.4,93
28-02-2019,27.2,14.2,0,14.3,43
01-03-2019,29.6,14.7,0,17.5,52
02-03-2019,34.6,17.8,0,22.4,46
03-03-2019,29.5,19.6,0.4,17.6,83
04-03-2019,29.1,18.5,0,18.1,64
05-03-2019,29.1,16.6,0,12,65
06-03-2019,29.9,17.2,0,11,53
07-03-2019,31.2,17.4,0,14.3,57
08-03-2019,32.2,18.7,0,13.6,62
09-03-2019,31.4,19,0,16.8,59
10-03-2019,32.5,18.6,0,15.5,47
11-03-2019,30.1,20.1,0,15.7,82
12-03-2019,31.3,16.5,0,9.3,49
13-03-2019,30.9,17.7,0,17.1,44
14-03-2019,30.9,18.1,0,17.1,62
15-03-2019,32.1,17,0,17.3,41
16-03-2019,32.7,18.6,0,20.6,48
17-03-2019,33.2,17.8,0,13.1,49
18-03-2019,33.8,19,0,15.9,34
19-03-2019,35,19.3,0,11.8,42
20-03-2019,33.1,21.2,0,17.7,67
21-03-2019,33.8,20.4,0,12.3,71
22-03-2019,35.5,21.4,0,14.8,61
23-03-2019,36.3,20.9,0,13.4,38
24-03-2019,36.9,21.8,0,12,44
25-03-2019,37.4,23.6,0,19.6,40
26-03-2019,36.4,24,0,16.4,38
27-03-2019,38.3,23.2,0,14.3,33
28-03-2019,39.8,24.2,0,12,41
29-03-2019,40.3,25.1,0,14.8,44
30-03-2019,39.3,26.2,0,14.9,51
31-03-2019,39.7,24.1,0,15.8,49
01-04-2019,39.7,24.1,0,14.7,53
02-04-2019,40.2,23.4,0,11.6,43
03-04-2019,40,25.1,0,11.8,37
04-04-2019,40.8,25.1,0,13.1,53
05-04-2019,40,26.2,0,12.6,49
06-04-2019,39.8,23.9,0,14,57
07-04-2019,40.3,24.7,0,16.4,64
08-04-2019,39.6,24,0,12.7,64
09-04-2019,39.8,24.4,0,14.8,71
10-04-2019,39.8,24.9,0,12.5,76
11-04-2019,40.4,26.9,0,13.4,51
12-04-2019,40.8,26.2,0,20.1,69
13-04-2019,40.8,27.2,0,15.5,47
14-04-2019,41.2,26.6,0,15.9,49
15-04-2019,38.4,27.3,0.3,22,50
16-04-2019,35,25.5,0,23.9,62
17-04-2019,33.5,21.6,0,17.3,74
18-04-2019,35.6,23.9,0,14.7,74
19-04-2019,36.6,24.1,0,14.3,40
20-04-2019,37.8,23.8,0,11.2,39
21-04-2019,39,25.1,0,15.8,42
22-04-2019,40,26.1,0,14.3,38
23-04-2019,41.3,26.5,0,16.2,47
24-04-2019,40.9,28.1,0,18.1,45
25-04-2019,41.2,27.7,0,20.5,44
26-04-2019,42.1,28.1,0,17.6,62
27-04-2019,42.8,28.2,0,22.7,30
28-04-2019,42.1,27.9,0,21.5,33
29-04-2019,41.8,26.2,0,16.6,49
30-04-2019,41.2,25.7,0,20.2,62
01-05-2019,39.7,26.5,0,16.6,59
02-05-2019,40.3,25.8,0,19.8,63
03-05-2019,39.6,26.1,0,20.2,56
04-05-2019,39,26.5,0,22.7,63
05-05-2019,39.1,25.6,0,18.4,71
06-05-2019,40.3,26,0,13.8,69
07-05-2019,40.6,26.4,0,16.1,61
08-05-2019,39.4,25.8,0,18.4,67
09-05-2019,37.9,25.3,0,15.9,83
10-05-2019,38,25.7,0,19.2,73
11-05-2019,39.5,25.6,0,15.1,76
12-05-2019,40,26.9,0,15.2,79
13-05-2019,40.2,26.3,0,16.1,79
14-05-2019,40.3,25.1,0,16.8,80
15-05-2019,38.9,25.9,0,14.9,84
16-05-2019,38.4,26.2,0,17.2,82
17-05-2019,38.3,25.9,0,26.3,81
18-05-2019,38.7,26.7,0,22.3,81
19-05-2019,39.6,27.8,0,18.3,70
20-05-2019,40.3,28.2,0,16.3,73
21-05-2019,41,29,0,18.6,70
22-05-2019,41,28.9,0,17.4,67
23-05-2019,41.4,29.1,0,19.1,67
24-05-2019,40.8,27.3,0,20.1,70
25-05-2019,40.8,28.2,0,17.5,73
26-05-2019,41.6,29.3,0,17.1,63
27-05-2019,41.4,27.6,0,15.4,69
28-05-2019,42.3,28.4,0,18,69
29-05-2019,42.1,27.8,0,16.3,72
30-05-2019,42.4,27.8,0,18,77
31-05-2019,42.6,27.5,0,22,70
