time,temperature_2m_max (°C),temperature_2m_min (°C),precipitation_sum (mm),wind_speed_10m_max (km/h),relative_humidity_2m_max (%)
01-01-2019,25.4,8.6,0,11.5,75
02-01-2019,27.3,12.4,0,10.5,57
03-01-2019,24.8,10.5,0,11.2,79
04-01-2019,25.5,9,0,11.8,87
05-01-2019,27.2,11,0,14.8,73
06-01-2019,25.6,13.5,0,16.3,66
07-01-2019,20.8,10.4,0,16.1,96
08-01-2019,21.7,9,0,9.5,92
09-01-2019,21.9,8.2,0,10,88
10-01-2019,22.2,8.1,0,9.7,92
11-01-2019,23.6,8.7,0,10.7,87
12-01-2019,25.1,10.2,0,11.6,74
13-01-2019,24.8,11.5,0,12.8,84
14-01-2019,22.4,10.5,0,13.8,90
15-01-2019,22.5,8.7,0,10.2,78
16-01-2019,24.3,8.3,0,11.1,83
17-01-2019,26,11.9,0,11.5,60
18-01-2019,24.6,10.6,0,10.9,76
19-01-2019,25.9,9.5,0,10.3,77
20-01-2019,29.2,12.6,0,11,71
21-01-2019,29.3,12.7,0,19.1,70
22-01-2019,26.5,16.1,0,17.1,71
23-01-2019,25.1,14.1,0,12.7,77
24-01-2019,24.2,12.7,0,15.6,98
25-01-2019,19.6,12.5,2.4,14.1,92
26-01-2019,20.4,10.8,0,19.1,96
27-01-2019,19,8.6,0,13.2,91
28-01-2019,18.5,7.2,0,15,71
29-01-2019,18.9,6.5,0,10.2,76
30-01-2019,21.8,6.2,0,10.6,88
31-01-2019,25.8,8.7,0,12.7,78
01-02-2019,27.1,11.5,0,15.4,81
02-02-2019,26.1,12.7,0,12.9,84
03-02-2019,26.4,13.2,0,13.2,92
04-02-2019,28.9,14.3,0,12,93
05-02-2019,29.7,15.5,0,15.5,66
06-02-2019,28.8,16.7,0.2,23.4,66
07-02-2019,26.4,16.7,0,24.3,81
08-02-2019,22.6,10.6,0,15.2,78
09-02-2019,20.3,9.7,0,15.7,55
10-02-2019,22,6.9,0,10.4,72
11-02-2019,24.9,9.5,0,11.2,66
12-02-2019,29,11.6,0,10.9,73
13-02-2019,31.2,15.2,0.1,14.7,69
14-02-2019,30.1,17.9,0.1,21.1,81
15-02-2019,29.3,17.1,0.6,19.5,83
16-02-2019,24.8,13.2,0,13,79
17-02-2019,25.5,11.5,0,12.6,66
18-02-2019,29.1,13.4,0,13.5,68
19-02-2019,30.9,15.6,0,14.8,66
20-02-2019,32.1,15.9,0,11.1,69
21-02-2019,34.1,20.1,0,25,75
22-02-2019,31.2,19.1,0,14.6,66
23-02-2019,29,16.8,0,12,90
24-02-2019,29,16.2,0,14.9,75
25-02-2019,28.1,16.2,0,14.5,58
26-02-2019,27.9,15.9,0,24.5,61
27-02-2019,24,16.6,0.8,23.4,68
28-02-2019,23.6,13,0,13.3,85
01-03-2019,25.2,11.6,0,12.3,59
02-03-2019,29.6,13.5,0,14.2,54
03-03-2019,31.8,16.8,0.3,17.7,83
04-03-2019,28.2,15.4,0,22.8,97
05-03-2019,27.5,16.2,0,15,63
06-03-2019,27.1,15.1,0,11.2,67
07-03-2019,28,15.3,0,12.1,52
08-03-2019,30.9,15.5,0,15.9,56
09-03-2019,30.7,17.9,0,20.6,56
10-03-2019,30.8,16,0,12.6,61
11-03-2019,32.8,17.8,0,16.8,67
12-03-2019,31.6,18.4,0,15.5,51
13-03-2019,32.6,18.3,0,12.4,61
14-03-2019,31.9,20.1,0.1,18.8,65
15-03-2019,29.7,18,0,16.8,63
16-03-2019,30.1,17.1,0,16.9,57
17-03-2019,30.3,18.7,0,14,54
18-03-2019,31.1,17.7,0,13.2,84
19-03-2019,32.4,16.9,0,10.9,47
20-03-2019,33.7,18.1,0,14.8,49
21-03-2019,33.2,19.3,0,13.8,57
22-03-2019,32.7,19.2,0,15,43
23-03-2019,32.7,18.5,0,13.7,52
24-03-2019,34.1,19.5,0,10.8,41
25-03-2019,36.1,20,0,16.7,50
26-03-2019,34.4,20.6,0,14.8,48
27-03-2019,34,19.7,0,13.7,57
28-03-2019,35.9,20,0,10.2,45
29-03-2019,39.1,22,0,10.2,43
30-03-2019,39.5,25.9,0,20.9,32
31-03-2019,38.6,25.8,0,23.7,29
01-04-2019,37.2,22.2,0,10.3,48
02-04-2019,38.3,21.3,0,11.4,34
03-04-2019,39.4,21.9,0,16.3,28
04-04-2019,40.1,24.6,0,17.6,26
05-04-2019,40,26.6,0,17.3,27
06-04-2019,38.6,27.2,0,18.9,34
07-04-2019,39,25.9,0,21.5,34
08-04-2019,39.4,25,0,19.8,38
09-04-2019,39.2,24.2,0,18.4,38
10-04-2019,39.9,26.4,0,19.7,35
11-04-2019,40,25.2,0,17.5,33
12-04-2019,40.2,26.2,0,17.1,32
13-04-2019,40.5,25.2,0,24.3,30
14-04-2019,40.9,27.8,0,17.1,29
15-04-2019,38.2,26.7,0,26.4,31
16-04-2019,31.9,20.1,10.8,14.5,93
17-04-2019,32.1,19,0.6,23.7,95
18-04-2019,33.2,18.7,0.1,20.3,84
19-04-2019,34.6,21.3,0,18.4,65
20-04-2019,35.7,21.2,0,15.5,52
21-04-2019,37.7,21.5,0,19,48
22-04-2019,38.2,23.6,0,13.8,39
23-04-2019,40.1,25.5,0,17.1,34
24-04-2019,41.1,24.9,0,17.8,32
25-04-2019,41,27.6,0,18.3,34
26-04-2019,41.7,27.5,0,18.7,29
27-04-2019,41.7,27.4,0,15.8,33
28-04-2019,42.8,25.8,0,19.7,41
29-04-2019,42.1,27.2,0,17.9,23
30-04-2019,41.7,28.3,0,20.6,26
01-05-2019,40.2,28.3,0,22,32
02-05-2019,40.4,27.3,0,18.2,32
03-05-2019,39.5,27.8,0,24.5,42
04-05-2019,38.5,27,0,17.9,49
05-05-2019,37.3,26.5,0,17,44
06-05-2019,40.1,27.4,0,19.5,45
07-05-2019,40.1,28.5,0,23.2,32
08-05-2019,40.4,29.1,0,23.8,28
09-05-2019,40.1,27.6,0,22.9,31
10-05-2019,37.9,27.5,0,19.9,39
11-05-2019,38.8,27,0,21,41
12-05-2019,39.5,27.3,0,21.1,46
13-05-2019,38.5,26.3,0,20,47
14-05-2019,38.6,25.7,0,19.9,48
15-05-2019,39.6,26.8,0,18.7,37
16-05-2019,39.2,27.6,0,17,45
17-05-2019,38.9,27.9,0,23.3,45
18-05-2019,38.2,27.1,0,21.3,48
19-05-2019,37.5,26.3,0,13.9,42
20-05-2019,40.5,26.9,0,10.6,43
21-05-2019,41.7,28.9,0,23.2,34
22-05-2019,41.3,30,0,21.1,37
23-05-2019,41.2,30.3,0,19.6,39
24-05-2019,41,30.5,0,21,39
25-05-2019,39.7,30.3,0,20.4,40
26-05-2019,40.3,29.8,0,13.1,38
27-05-2019,42.1,30.2,0,18.9,34
