time,temperature_2m_max (°C),temperature_2m_min (°C),precipitation_sum (mm),wind_speed_10m_max (km/h),relative_humidity_2m_max (%)
01-01-2019,25.4,11.8,0,10.9,89
02-01-2019,25.7,12.6,0,9.9,90
03-01-2019,27.5,12.3,0,10.2,95
04-01-2019,26.4,12.9,0,10.6,99
05-01-2019,26.4,13.2,0,10.2,95
06-01-2019,26.9,12.6,0,10.5,90
07-01-2019,28.2,12,0,10.5,96
08-01-2019,28.4,14,0,12.5,95
09-01-2019,27.1,14.1,0,9.4,94
10-01-2019,27.3,14,0,13,100
11-01-2019,27,14.2,0,14.2,98
12-01-2019,27.1,14.4,0,12.9,98
13-01-2019,27.8,13.9,0,11.5,94
14-01-2019,30.1,14.4,0,13.8,94
15-01-2019,28.1,16.3,0,15.9,100
16-01-2019,26.6,14.7,0,12.8,87
17-01-2019,27.3,13.4,0,16.6,96
18-01-2019,28.5,14.9,0,14,99
19-01-2019,28.3,14.7,0,9.2,100
20-01-2019,28.6,13.8,0,9.1,100
21-01-2019,29.8,14.1,0,12,100
22-01-2019,29,16.8,0,14.5,100
23-01-2019,28.8,16.3,0,11.2,100
24-01-2019,29,15.8,0,10.4,100
25-01-2019,28.9,15.6,0.2,15.1,100
26-01-2019,29,15.5,0,10.3,100
27-01-2019,25.2,18.2,0,15.1,91
28-01-2019,24.6,16.9,0,11.5,93
29-01-2019,27,15.6,0,14.8,94
30-01-2019,26.1,13.7,0,12,76
31-01-2019,26.9,12.7,0,13.8,85
01-02-2019,28.1,12.3,0,13.2,85
02-02-2019,29.6,13,0,12.7,92
03-02-2019,30.3,13.9,0,12.3,93
04-02-2019,30.8,15.1,0,14.1,76
05-02-2019,31,15.3,0,11.9,93
06-02-2019,31.8,16.2,0,11.7,86
07-02-2019,32.4,17.1,0,18,92
08-02-2019,32.2,18.4,0,18.7,100
09-02-2019,30.7,19.2,0.8,11.5,100
10-02-2019,28.4,18.3,0,16.1,88
11-02-2019,28.8,15.5,0,13.9,86
12-02-2019,29.8,14.8,0,13.4,93
13-02-2019,31,15,0,13.9,97
14-02-2019,32.9,16.8,0,18.6,97
15-02-2019,33,18,0,19.9,100
16-02-2019,29,18.3,0.1,17.9,100
17-02-2019,32.5,20.2,0,20.2,93
18-02-2019,32.1,18.9,0,15.9,95
19-02-2019,32.8,19.7,0.1,20.2,100
20-02-2019,34.8,23.2,0,20.2,98
21-02-2019,34.8,23.1,0,17.5,99
22-02-2019,38,20.8,0,15.1,96
23-02-2019,36.8,22,0,15.5,75
24-02-2019,35.5,22.4,0,18.6,94
25-02-2019,30.9,22.8,2.5,16.1,91
26-02-2019,31.1,23.8,0.7,23.5,96
27-02-2019,31,23.8,0.3,24.8,89
28-02-2019,31.2,21,4.8,15.9,94
01-03-2019,28.6,19.5,0,17.4,98
02-03-2019,29.7,18,0,19.1,93
03-03-2019,31.7,18.7,0,16.2,95
04-03-2019,32.3,22.4,0.1,23.8,95
05-03-2019,32.5,24.8,14.8,20.3,93
06-03-2019,31.4,23,1.1,15.3,96
07-03-2019,29.9,21.2,1.1,18.3,96
08-03-2019,32.3,19.9,0.2,19.7,95
09-03-2019,33.1,20.3,0.1,21.6,100
10-03-2019,32.9,23.5,0,23.1,97
11-03-2019,35.7,23.7,0,17.3,99
12-03-2019,35.9,23.6,0,17.7,100
13-03-2019,37,24,0.3,16,98
14-03-2019,36.5,23.6,0.3,16.1,96
15-03-2019,34.4,23.7,1.5,14,91
16-03-2019,34.3,22.9,0.2,14.8,98
17-03-2019,35.8,23.2,0,15.9,98
18-03-2019,32.1,21.4,0,15.1,80
19-03-2019,34,21.8,0,13.4,93
