time,temperature_2m_max (°C),temperature_2m_min (°C),precipitation_sum (mm),wind_speed_10m_max (km/h),relative_humidity_2m_max (%)
01-01-2019,29.9,15,0,13.9,81
02-01-2019,30.2,15.5,0,17.9,77
03-01-2019,29.5,15.1,0,13,78
04-01-2019,30.1,15.5,0,16.3,88
05-01-2019,28.5,16.1,0,15.6,86
06-01-2019,30,16.7,0,23.7,78
07-01-2019,30.6,17.8,0,20.3,64
08-01-2019,30,17.4,0,17.1,66
09-01-2019,28.1,14.5,0,16.8,85
10-01-2019,28.9,14.8,0,14.5,86
11-01-2019,28.7,15.5,0,16.3,87
12-01-2019,27.3,16.2,0,17.1,89
13-01-2019,29.5,16.1,0,19.6,82
14-01-2019,29.8,16.7,0,18.7,67
15-01-2019,31.6,19,0,18.1,64
16-01-2019,30.5,17.6,0,15.6,83
17-01-2019,29.6,18.1,0,17.1,83
18-01-2019,29.3,16.6,0,15.3,87
19-01-2019,31.1,16.9,0,13.8,92
20-01-2019,31.1,17.7,0,14,94
21-01-2019,27.9,18.4,0,16.6,97
22-01-2019,26.5,19.7,0,11.9,98
23-01-2019,25.9,19.3,0.2,22.4,100
24-01-2019,26.5,17.3,0,22.9,83
25-01-2019,25.7,17.4,0,26.7,61
26-01-2019,27.3,16.9,0,27.4,60
27-01-2019,29,19.1,0,27.4,55
28-01-2019,28.5,18.5,0,22.5,50
29-01-2019,29.5,18.3,0,19.7,57
30-01-2019,29.9,15.9,0,14.7,83
31-01-2019,28.3,17.3,0,16.6,86
01-02-2019,28.4,17,0,17.3,92
02-02-2019,27.4,18.2,0,22,77
03-02-2019,28.9,17.9,0,15.6,85
04-02-2019,30.6,18.8,0,18.4,91
05-02-2019,29,19,0,18,96
06-02-2019,27,19.8,0,19.6,95
07-02-2019,25.1,19.3,0,22.1,93
08-02-2019,23.2,16.1,0,24.6,91
09-02-2019,27.6,15.2,0,23.2,68
10-02-2019,28.8,13.1,0,13.8,71
11-02-2019,30.9,15.4,0,15.1,79
