time,temperature_2m_max (°C),temperature_2m_min (°C),precipitation_sum (mm),wind_speed_10m_max (km/h),relative_humidity_2m_max (%)
01-01-2019,14.5,4.2,0,10,93
02-01-2019,14.3,3.8,0,9.4,89
03-01-2019,13.7,4.1,0,7.7,93
04-01-2019,13,2,0,9.3,100
05-01-2019,14.6,2.9,0,12.7,94
06-01-2019,17,4.9,0,8.7,81
07-01-2019,17.7,6.7,0,10.9,70
08-01-2019,15.6,5.6,0,10.2,89
09-01-2019,14.3,4.4,0,8.4,95
10-01-2019,13.3,3.9,0.4,10.3,99
11-01-2019,15,4.2,0,8.4,91
12-01-2019,14.8,3.9,0,7.8,89
13-01-2019,16.6,4.7,0,7.1,89
14-01-2019,14.8,5.3,0.3,7.4,89
15-01-2019,14.2,3.5,0,12.4,93
16-01-2019,15.1,6.1,0,9.4,77
17-01-2019,17.1,5.8,0,8.3,77
18-01-2019,15.4,5.4,0,10.2,93
19-01-2019,14.2,4.8,0,11.4,96
20-01-2019,14.8,4.7,0,9.8,94
21-01-2019,16.6,4.3,0,8.3,91
22-01-2019,16.3,5.7,0,11.5,88
23-01-2019,17,5.5,0,10.5,92
24-01-2019,17.2,7,0.3,12.5,87
25-01-2019,17.5,7.2,0,6.8,96
26-01-2019,17.7,7.1,0.1,6.4,88
27-01-2019,16.2,9.3,0,10,83
28-01-2019,16.4,6.4,0,10.1,90
29-01-2019,11.9,4.6,2.5,11.2,93
30-01-2019,13.6,0.8,0,10.1,91
31-01-2019,17.2,3.6,0,7.3,84
01-02-2019,18.9,5.9,0,6.9,74
02-02-2019,17.3,5.8,0,12,92
03-02-2019,17,4.8,0,7.2,95
04-02-2019,16.8,4.9,0,10.2,95
05-02-2019,17.9,7.5,0,6.5,89
06-02-2019,17.5,6.3,0,7.6,94
07-02-2019,18,7.8,0,9.2,90
08-02-2019,18.9,8.1,0.2,11,88
09-02-2019,17.4,8.9,5.3,13.9,92
10-02-2019,15.8,7.7,0.3,11,99
11-02-2019,17.6,6.2,0,10.1,99
12-02-2019,18.4,4.8,0,10.5,92
13-02-2019,19.6,7.6,0.1,9.7,89
14-02-2019,19.1,7.4,0,11.2,92
