time,temperature_2m_max (°C),temperature_2m_min (°C),precipitation_sum (mm),wind_speed_10m_max (km/h),relative_humidity_2m_max (%)
01-01-2019,31.5,22.1,0,10.9,88
02-01-2019,32.2,20.4,0,10.4,86
03-01-2019,32.4,21.2,0,9.5,88
04-01-2019,31.9,20,0,12.3,83
05-01-2019,31.5,19.1,0,11,84
06-01-2019,31.7,20.4,0,12.5,88
07-01-2019,31.3,21.5,0,16.2,82
08-01-2019,32.2,19.2,0,13.2,91
09-01-2019,32.3,20.1,0,13.1,93
10-01-2019,32.3,18.7,0,13.5,90
11-01-2019,31.1,21,0,15.8,87
12-01-2019,31.6,20.6,0,14,92
13-01-2019,32.7,21.7,0,16.6,90
14-01-2019,32.4,23.3,0,16.5,88
15-01-2019,32.8,21.8,0,15.6,91
16-01-2019,32.5,22.7,0,14.2,92
17-01-2019,32.9,20.7,0,13.5,87
18-01-2019,32,20.2,0,14.5,86
19-01-2019,32.2,20.2,0,16.7,84
20-01-2019,31.6,20.9,0,15.4,88
21-01-2019,31.7,19.3,0,12.6,90
22-01-2019,30.9,19.2,0,16.2,81
23-01-2019,32,20,0,17,80
24-01-2019,31.8,20.9,0.7,15.7,90
25-01-2019,30.9,22.4,0.1,15,90
26-01-2019,31.6,22.2,1.6,16.1,97
27-01-2019,30.4,23,0.6,12.2,93
28-01-2019,31,22.8,0.2,14,96
29-01-2019,31.6,23.2,0.2,12.5,94
30-01-2019,32.2,22.1,0.1,13.6,93
31-01-2019,32.7,22.6,0,14.2,88
01-02-2019,32.3,22.5,0,18.1,76
02-02-2019,32.1,21.7,0,14.9,86
03-02-2019,32.4,21.8,0,14.8,94
04-02-2019,32.9,22.8,0,10.4,81
05-02-2019,33.8,24.6,2.6,12,90
06-02-2019,31.1,24.3,0.2,16.1,96
07-02-2019,31.9,24,0,17.4,95
08-02-2019,31.8,23.4,0.1,17.5,94
09-02-2019,31.3,24.1,11.7,12.8,97
10-02-2019,28.7,23.9,11.7,9.5,96
11-02-2019,32.7,22.6,0,14.1,97
12-02-2019,32.9,23.6,0,16.6,88
13-02-2019,32.7,22.5,0,11.2,89
14-02-2019,31.9,22.3,0,12.3,87
15-02-2019,31.8,23.6,2.2,11.8,91
16-02-2019,32.1,23.8,1.6,13.8,96
17-02-2019,31.2,24.3,0.9,17.8,97
18-02-2019,31.8,24.1,0.1,18.1,94
19-02-2019,31.8,24.8,1.3,12,95
20-02-2019,33.4,24.2,0,14.5,99
21-02-2019,34.4,23.2,0,14.8,86
22-02-2019,33.8,21.6,0,13.3,87
23-02-2019,34,20.2,0,9.8,86
24-02-2019,33.5,20.6,0,18.6,85
25-02-2019,33.5,21,0,15,94
26-02-2019,31.7,23.7,1,21.6,95
